"record_id"	"protein_name"	"gene_symbol"	"UniProt_ID"	"assay_target_name"	"assay_target_ID"	"proteomic_platform"	"protein_form_or_isoform"	"disease"	"disease_subtype"	"outcome_definition"	"source_study_first_author"	"publication_year"	"journal"	"PMID"	"DOI"	"publication_status"	"pQTL_source"	"pQTL_sample_size"	"ancestry"	"cis_trans_status"	"instrument_definition"	"instrument_SNPs"	"MR_method"	"beta_or_logOR"	"SE"	"OR"	"CI_lower"	"CI_upper"	"P_value"	"multiple_testing_method"	"corrected_significance"	"colocalization_method"	"PP_H4"	"SMR_P"	"HEIDI_P"	"replication_dataset"	"replication_status"	"effect_direction"	"outcome_GWAS"	"overlap_with_primary_outcome_GWAS"	"same_outcome_reanalysis"	"evidence_tier"	"high_complexity_locus"	"assay_cross_reactivity_risk"	"inclusion_status"	"exclusion_reason"	"APOE_rs429358_alpha_available"	"APOE_rs7412_alpha_available"	"alpha_source"	"eligible_for_two_step_MR"	"manual_verification_status"	"notes"	"source_table_file"	"source_sheet"	"source_row"	"beta_source_type"	"mapping_confidence"	"evidence_independence"	"duplicate_group"	"allele_harmonization_status"	"derived_field_notes"
"PMID40397384_SuppTable6_DHRS9"	"DHRS9"	"DHRS9"	"not_reported"	"DHRS9"	"not_reported"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"AD-EADB"	"Li Y"	"2025"	"Journal of Alzheimer's Disease"	"40397384"	"10.1177/13872877251345151"	"peer_reviewed"	"deCODE SomaScan"	"not_reported"	"European"	"mixed_or_not_explicitly_cis_only"	"study-selected genome-wide instruments"	"not_reported"	"IVW"	"-0.24110797516765642"	"0.0607002642615757"	"0.785756779587741"	"0.697620170186666"	"0.885028476890071"	"7.12395546569418e-05"	"Benjamini-Hochberg FDR"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"AD-EADB"	"partially_overlapping_or_related"	"false"	"Tier2"	"FALSE"	"platform_mapping_required"	"literature_source_universe_tier2"	"no_colocalization_or_independent_replication;published_beta_not_same_assay_primary_analysis_beta"	"false"	"false"	"not_reported"	"false"	"full_text_and_source_table_verified"	"Failed to pass the leave-one-out test"	"PMID40397384_supp2.xlsx"	"SuppTable6"	"9"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE SomaScan_2025"	"not_applicable_to_published_beta"	"not_reported"
"EVID_41630303_DHRS9_34523a5d606c"	"DHRS9"	"DHRS9"	"not_reported"	"DHRS9"	"17467_1_DHRS9_DHRS9"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"FinnGen AD"	"Zhao YH"	"2026"	"Medicine"	"41630303"	"10.1097/md.0000000000045715"	"peer_reviewed"	"deCODE"	"35559"	"European"	"mixed_or_not_explicitly_cis_only"	"P<5e-8; LD clumped instruments"	"4 SNPs; IDs in Table S2"	"IVW"	"-0.734313828"	"0.218486575"	"0.479834595"	"0.312688586"	"0.736327607"	"0.00077686"	"study-reported FDR<0.05"	"true"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"FinnGen AD"	"different_outcome_GWAS_from_primary_analysis"	"false"	"Tier2"	"false"	"SomaScan assay review required"	"literature_source_universe_tier2"	"not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only."	"data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx"	"Table S3"	"14"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE_FinnGen_2026"	"not_applicable_to_published_beta"	"none"
"EVID_40050982_DMP1_04c966df50ff"	"DMP1"	"DMP1"	"Q13316"	"DMP1"	"Q13316"	"UKB-PPP Olink"	"UniProt-mapped protein"	"AD"	"AD"	"Bellenguez et al. 2022 AD discovery; FinnGen R11 replication"	"Zhan H"	"2025"	"Journal of translational medicine"	"40050982"	"10.1186/s12967-025-06317-5"	"peer_reviewed"	"UKB-PPP cis-pQTL"	"34557 European participants"	"European"	"cis_pQTL"	"cis-pQTL; discovery MR with Bellenguez AD; FinnGen R11 outcome replication"	"rs10021236"	"Wald ratio"	"0.5538851132264376"	"not_reported_directly"	"1.74"	"1.27"	"2.37"	"0.0005284419251777"	"Benjamini-Hochberg FDR in discovery; P<0.00208 replication threshold"	"true"	"coloc.abf in discovery and replication"	"NA"	"not_reported"	"not_reported"	"FinnGen R11 AD"	"replication_not_corrected_or_direction_inconsistent"	"higher_protein_higher_risk"	"Bellenguez 2022 discovery; FinnGen R11 replication"	"Bellenguez_partially_overlaps_Wightman_components; FinnGen_independent_of_primary_AD_outcome_GWAS"	"partially_overlapping_discovery_with_independent_outcome_replication"	"Tier2"	"false"	"Olink assay review required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Replication P=0.413188899133149; replication PP.H4=NA."	"data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx"	"Table S2"	"58"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_PPP_Bellenguez_FinnGen"	"not_applicable_to_published_beta"	"logOR derived from rounded reported OR; not eligible for mediation beta"
"EVID_41630303_DNAJB4_0f0700b66ccd"	"DNAJB4"	"DNAJB4"	"not_reported"	"DNAJB4"	"18884_22_DNAJB4_DNJB4"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"FinnGen AD"	"Zhao YH"	"2026"	"Medicine"	"41630303"	"10.1097/md.0000000000045715"	"peer_reviewed"	"deCODE"	"35559"	"European"	"mixed_or_not_explicitly_cis_only"	"P<5e-8; LD clumped instruments"	"11 SNPs; IDs in Table S2"	"IVW"	"-0.187392622"	"0.063505479"	"0.829118143"	"0.732081553"	"0.939016824"	"0.003169415"	"study-reported FDR<0.05"	"true"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"FinnGen AD"	"different_outcome_GWAS_from_primary_analysis"	"false"	"Tier2"	"false"	"SomaScan assay review required"	"literature_source_universe_tier2"	"not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only."	"data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx"	"Table S3"	"28"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE_FinnGen_2026"	"not_applicable_to_published_beta"	"none"
"EVID_41630303_DNASE1L2_4df489b0fb61"	"DNASE1L2"	"DNASE1L2"	"not_reported"	"DNASE1L2"	"6324_11_DNASE1L2_DNSL2"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"FinnGen AD"	"Zhao YH"	"2026"	"Medicine"	"41630303"	"10.1097/md.0000000000045715"	"peer_reviewed"	"deCODE"	"35559"	"European"	"mixed_or_not_explicitly_cis_only"	"P<5e-8; LD clumped instruments"	"3 SNPs; IDs in Table S2"	"IVW"	"0.535719943"	"0.205420866"	"1.70867795"	"1.14235857"	"2.555747742"	"0.009109585"	"study-reported FDR<0.05"	"true"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_higher_risk"	"FinnGen AD"	"different_outcome_GWAS_from_primary_analysis"	"false"	"Tier2"	"false"	"SomaScan assay review required"	"literature_source_universe_tier2"	"not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only."	"data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx"	"Table S3"	"37"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE_FinnGen_2026"	"not_applicable_to_published_beta"	"none"
"EVID_40037332_EIF4G3_194ecd0e09cb"	"EIF4G3"	"EIF4G3"	"O43432"	"EIF4G3"	"OID31022"	"Olink"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"Olink"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs146656065"	"Wald ratio using lead cis-pQTL"	"0.470362947123946"	"0.115846067095808"	"1.6005750119049789"	"1.2754571401145747"	"2.008566409769357"	"4.90220971988332e-05"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.713305845841298"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier2"	"false"	"assay_specific_review_required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"34"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"EVID_40037332_EPHA1_23732d57d5f3"	"EPHA1"	"EPHA1"	"P21709"	"EPHA1"	"OID20677"	"Olink"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"Olink"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs75045569"	"Wald ratio using lead cis-pQTL"	"-0.285434580045528"	"0.0428545030646867"	"0.7516875149328539"	"0.6911285719310271"	"0.817552830332586"	"2.72803884775319e-11"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.0163689536092392"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier2"	"false"	"assay_specific_review_required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"14"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"PMID40452368_UKB-PPP_EPHA1"	"EPHA1"	"EPHA1"	"not_reported"	"EPHA1"	"not_reported"	"UKB-PPP Olink"	"assay_specific_target"	"AD"	"AD"	"AD GWAS"	"Yu K"	"2025"	"Journal of Alzheimer's Disease"	"40452368"	"10.1177/13872877251344572"	"peer_reviewed"	"UKB-PPP"	"not_reported"	"European"	"mixed_or_not_explicitly_cis_only"	"not_reported"	"not_reported"	"study-reported MR"	"-0.28543393474148876"	"not_reported"	"0.751688"	"0.69"	"0.82"	"2.73e-11"	"study Bonferroni threshold"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"published AD GWAS"	"partially_overlapping_or_related"	"false"	"Tier2"	"FALSE"	"platform_mapping_required"	"literature_source_universe_tier2"	"published_cross_platform_beta_not_same_assay_primary_analysis_beta;highest_tier_requires_colocalization_or_replication_review"	"false"	"false"	"not_reported"	"false"	"full_text_and_source_table_verified"	"Study-Bonferroni-significant protein-outcome association; same dataset reports GRN/CR1 colocalization support."	"PMID40452368_supp5.xlsx"	"Supplemental Table 3"	"23"	"published_beta"	"moderate"	"partially_overlapping"	"AD_UKB-PPP_2025"	"not_applicable_to_published_beta"	"not_reported"
"EVID_40037332_EPHX2_208c03066b8f"	"EPHX2"	"EPHX2"	"P34913"	"EPHX2"	"OID20119"	"Olink"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"Olink"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs4149252"	"Wald ratio using lead cis-pQTL"	"0.451841771280906"	"0.0833346075628067"	"1.571203319419363"	"1.3344322766379868"	"1.8499851316352298"	"5.89298315639582e-08"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"9.14206890804788e-24"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier2"	"false"	"assay_specific_review_required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"19"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"EVID_40050982_EPHX2_b9f4b828f780"	"EPHX2"	"EPHX2"	"P34913"	"EPHX2"	"P34913"	"UKB-PPP Olink"	"UniProt-mapped protein"	"AD"	"AD"	"Bellenguez et al. 2022 AD discovery; FinnGen R11 replication"	"Zhan H"	"2025"	"Journal of translational medicine"	"40050982"	"10.1186/s12967-025-06317-5"	"peer_reviewed"	"UKB-PPP cis-pQTL"	"34557 European participants"	"European"	"cis_pQTL"	"cis-pQTL; discovery MR with Bellenguez AD; FinnGen R11 outcome replication"	"rs4149252"	"Wald ratio"	"0.45107561936021673"	"not_reported_directly"	"1.57"	"1.33"	"1.85"	"5.89298315639583e-08"	"Benjamini-Hochberg FDR in discovery; P<0.00208 replication threshold"	"true"	"coloc.abf in discovery and replication"	"NA"	"not_reported"	"not_reported"	"FinnGen R11 AD"	"replication_not_corrected_or_direction_inconsistent"	"higher_protein_higher_risk"	"Bellenguez 2022 discovery; FinnGen R11 replication"	"Bellenguez_partially_overlaps_Wightman_components; FinnGen_independent_of_primary_AD_outcome_GWAS"	"partially_overlapping_discovery_with_independent_outcome_replication"	"Tier2"	"false"	"Olink assay review required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Replication P=0.0237485637349583; replication PP.H4=NA."	"data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx"	"Table S2"	"20"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_PPP_Bellenguez_FinnGen"	"not_applicable_to_published_beta"	"logOR derived from rounded reported OR; not eligible for mediation beta"
"PMID40452368_UKB-PPP_EPHX2"	"EPHX2"	"EPHX2"	"not_reported"	"EPHX2"	"not_reported"	"UKB-PPP Olink"	"assay_specific_target"	"AD"	"AD"	"AD GWAS"	"Yu K"	"2025"	"Journal of Alzheimer's Disease"	"40452368"	"10.1177/13872877251344572"	"peer_reviewed"	"UKB-PPP"	"not_reported"	"European"	"mixed_or_not_explicitly_cis_only"	"not_reported"	"not_reported"	"study-reported MR"	"0.4518415679848769"	"not_reported"	"1.571203"	"1.33"	"1.85"	"5.89e-08"	"study Bonferroni threshold"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_higher_risk"	"published AD GWAS"	"partially_overlapping_or_related"	"false"	"Tier2"	"FALSE"	"platform_mapping_required"	"literature_source_universe_tier2"	"published_cross_platform_beta_not_same_assay_primary_analysis_beta;highest_tier_requires_colocalization_or_replication_review"	"false"	"false"	"not_reported"	"false"	"full_text_and_source_table_verified"	"Study-Bonferroni-significant protein-outcome association; same dataset reports GRN/CR1 colocalization support."	"PMID40452368_supp5.xlsx"	"Supplemental Table 3"	"24"	"published_beta"	"moderate"	"partially_overlapping"	"AD_UKB-PPP_2025"	"not_applicable_to_published_beta"	"not_reported"
"EVID_41630303_ERP44_50c4d4b6055d"	"ERP44"	"ERP44"	"not_reported"	"ERP44"	"6064_4_ERP44_TXNDC4"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"FinnGen AD"	"Zhao YH"	"2026"	"Medicine"	"41630303"	"10.1097/md.0000000000045715"	"peer_reviewed"	"deCODE"	"35559"	"European"	"mixed_or_not_explicitly_cis_only"	"P<5e-8; LD clumped instruments"	"6 SNPs; IDs in Table S2"	"IVW"	"-0.318451202"	"0.101005408"	"0.727274567"	"0.596651671"	"0.886494283"	"0.001617052"	"study-reported FDR<0.05"	"true"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"FinnGen AD"	"different_outcome_GWAS_from_primary_analysis"	"false"	"Tier2"	"false"	"SomaScan assay review required"	"literature_source_universe_tier2"	"not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only."	"data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx"	"Table S3"	"17"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE_FinnGen_2026"	"not_applicable_to_published_beta"	"none"
"PMID40397384_SuppTable6_FAIM3"	"FAIM3"	"FAIM3"	"not_reported"	"FAIM3"	"not_reported"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"AD-EADB"	"Li Y"	"2025"	"Journal of Alzheimer's Disease"	"40397384"	"10.1177/13872877251345151"	"peer_reviewed"	"deCODE SomaScan"	"not_reported"	"European"	"mixed_or_not_explicitly_cis_only"	"study-selected genome-wide instruments"	"not_reported"	"IVW"	"-0.20635903088486726"	"0.053291210519726"	"0.813540937519966"	"0.732853248735132"	"0.903112400965926"	"0.00010781748259181"	"Benjamini-Hochberg FDR"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"AD-EADB"	"partially_overlapping_or_related"	"false"	"Tier2"	"FALSE"	"platform_mapping_required"	"literature_source_universe_tier2"	"no_colocalization_or_independent_replication;published_beta_not_same_assay_primary_analysis_beta"	"false"	"false"	"not_reported"	"false"	"full_text_and_source_table_verified"	"P adjusted significance"	"PMID40397384_supp2.xlsx"	"SuppTable6"	"12"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE SomaScan_2025"	"not_applicable_to_published_beta"	"not_reported"
"EVID_41630303_FTMT_a9178c0a0ab0"	"FTMT"	"FTMT"	"not_reported"	"FTMT"	"8048_9_FTMT_FTMT"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"FinnGen AD"	"Zhao YH"	"2026"	"Medicine"	"41630303"	"10.1097/md.0000000000045715"	"peer_reviewed"	"deCODE"	"35559"	"European"	"mixed_or_not_explicitly_cis_only"	"P<5e-8; LD clumped instruments"	"11 SNPs; IDs in Table S2"	"IVW"	"0.107322455"	"0.033595203"	"1.113293183"	"1.042347996"	"1.189067103"	"0.00140036"	"study-reported FDR<0.05"	"true"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_higher_risk"	"FinnGen AD"	"different_outcome_GWAS_from_primary_analysis"	"false"	"Tier2"	"false"	"SomaScan assay review required"	"literature_source_universe_tier2"	"not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only."	"data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx"	"Table S3"	"16"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE_FinnGen_2026"	"not_applicable_to_published_beta"	"none"
"EVID_40037332_GC_31d8f493bd31"	"GC"	"GC"	"P02774"	"GC"	"OID30780"	"Olink"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"Olink"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs1352846"	"Wald ratio using lead cis-pQTL"	"0.0275346887166006"	"0.00748677336705154"	"1.0279172716197338"	"1.0129436662565319"	"1.0431122208395014"	"0.000235274795641794"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.72688917924812"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier2"	"false"	"assay_specific_review_required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"41"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"PMID40397384_SuppTable6_GFAP"	"GFAP"	"GFAP"	"not_reported"	"GFAP"	"not_reported"	"deCODE SomaScan"	"assay_specific_target"	"AD"	"AD"	"AD-EADB"	"Li Y"	"2025"	"Journal of Alzheimer's Disease"	"40397384"	"10.1177/13872877251345151"	"peer_reviewed"	"deCODE SomaScan"	"not_reported"	"European"	"mixed_or_not_explicitly_cis_only"	"study-selected genome-wide instruments"	"not_reported"	"IVW"	"-0.43319151864341593"	"0.109171843450441"	"0.648436292273055"	"0.523526132131178"	"0.803149259092707"	"7.24848963901417e-05"	"Benjamini-Hochberg FDR"	"TRUE"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"not_reported"	"higher_protein_lower_risk"	"AD-EADB"	"partially_overlapping_or_related"	"false"	"Tier2"	"FALSE"	"platform_mapping_required"	"literature_source_universe_tier2"	"no_colocalization_or_independent_replication;published_beta_not_same_assay_primary_analysis_beta"	"false"	"false"	"not_reported"	"false"	"full_text_and_source_table_verified"	"P adjusted significance"	"PMID40397384_supp2.xlsx"	"SuppTable6"	"10"	"published_beta"	"moderate"	"partially_overlapping"	"AD_deCODE SomaScan_2025"	"not_applicable_to_published_beta"	"not_reported"
"EVID_40037332_GNAS_84b63b59b1db"	"GNAS"	"GNAS"	"O95467"	"GNAS"	"OID31008"	"Olink"	"assay_specific_target"	"AD"	"AD"	"clinically diagnosed Alzheimer disease GWAS"	"Belbasis L"	"2025"	"Brain : a journal of neurology"	"40037332"	"10.1093/brain/awaf018"	"peer_reviewed"	"Olink"	"UKB-PPP 54219 or deCODE 35559 according to platform"	"European"	"cis_lead_pQTL"	"lead cis-pQTL per assay"	"rs6026450"	"Wald ratio using lead cis-pQTL"	"-0.395281034203747"	"0.112747945997713"	"0.6734907387166652"	"0.5399563325405526"	"0.8400489961899894"	"0.000455096327759508"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.557258608535282"	"not_reported"	"not_reported"	"cross-platform comparison reported"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"AD GWAS reported in Table S1"	"likely_overlap_with_Wightman_2021_components"	"possible"	"Tier2"	"false"	"assay_specific_review_required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"FDR-significant AD row; colocalization joined by assay ID."	"data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx"	"Table S2"	"47"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_deCODE_cross_platform"	"not_applicable_to_published_beta"	"OR and CI derived from reported beta and SE"
"EVID_40050982_GNAS_b8cbe5a3caae"	"GNAS"	"GNAS"	"O95467"	"GNAS"	"O95467"	"UKB-PPP Olink"	"UniProt-mapped protein"	"AD"	"AD"	"Bellenguez et al. 2022 AD discovery; FinnGen R11 replication"	"Zhan H"	"2025"	"Journal of translational medicine"	"40050982"	"10.1186/s12967-025-06317-5"	"peer_reviewed"	"UKB-PPP cis-pQTL"	"34557 European participants"	"European"	"cis_pQTL"	"cis-pQTL; discovery MR with Bellenguez AD; FinnGen R11 outcome replication"	"rs6026450"	"Wald ratio"	"-0.40047756659712525"	"not_reported_directly"	"0.67"	"0.54"	"0.84"	"0.0004550963277595"	"Benjamini-Hochberg FDR in discovery; P<0.00208 replication threshold"	"true"	"coloc.abf in discovery and replication"	"NA"	"not_reported"	"not_reported"	"FinnGen R11 AD"	"replication_not_corrected_or_direction_inconsistent"	"higher_protein_lower_risk"	"Bellenguez 2022 discovery; FinnGen R11 replication"	"Bellenguez_partially_overlaps_Wightman_components; FinnGen_independent_of_primary_AD_outcome_GWAS"	"partially_overlapping_discovery_with_independent_outcome_replication"	"Tier2"	"false"	"Olink assay review required"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Replication P=0.0295500379100126; replication PP.H4=NA."	"data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx"	"Table S2"	"56"	"published_beta"	"high"	"partially_overlapping"	"AD_UKB_PPP_Bellenguez_FinnGen"	"not_applicable_to_published_beta"	"logOR derived from rounded reported OR; not eligible for mediation beta"
