locus,CHR,START,STOP,phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p
1867,13,22795189,23729049,AD,Dry_AMD,0.836439,0.32162,1,0.699631,0.10344,1,0.00152161
684,4,93451600,94757265,AD,Dry_AMD,1,0.28018,1,1,0.08298,1,0.00176188
1463,9,117989018,119001227,AD,Dry_AMD,-1,-1,-0.24083,1,0.05905,1,0.00199505
48,1,55727135,56799636,AD,Dry_AMD,-1,-1,-0.29392,1,0.0867,1,0.00210146
1558,10,78665482,79952996,AD,Dry_AMD,0.785421,0.30162,1,0.616886,0.09097,1,0.00212911
237,2,34239777,34890558,AD,Dry_AMD,0.944675,0.34717,1,0.892411,0.12075,1,0.00225593
1401,9,24757730,25957606,AD,Dry_AMD,0.358665,0.13777,0.60565,0.128641,0.01898,0.36681,0.0022874
508,3,101906990,103450271,AD,Dry_AMD,-0.4251,-0.71869,-0.15693,0.18071,0.02463,0.51652,0.00231945
939,6,16566883,17391994,AD,Dry_AMD,-0.879106,-1,-0.31524,0.772827,0.09944,1,0.0025787
1898,13,56434008,58245843,AD,Dry_AMD,0.478444,0.17512,0.82189,0.228909,0.03067,0.67551,0.00285085
1608,10,133818037,134856054,AD,Dry_AMD,-0.654261,-1,-0.22805,0.428057,0.05212,1,0.00317632
2268,18,38498382,39410165,AD,Dry_AMD,0.589353,0.21728,1,0.347336,0.04748,1,0.003455
966,6,32629240,32682213,AD,Dry_AMD,-0.311758,-0.52397,-0.10539,0.097193,0.01111,0.27454,0.00370337
394,2,217566012,218396258,AD,Dry_AMD,-0.928599,-1,-0.25712,0.862297,0.06671,1,0.00372812
865,5,107265912,108641784,AD,Dry_AMD,-1,-1,-0.31635,1,0.10033,1,0.00375247
623,4,24764725,25832018,AD,Dry_AMD,0.500043,0.17132,1,0.250043,0.02955,1,0.00398665
2105,16,3379997,4816145,AD,Dry_AMD,0.966263,0.27234,1,0.933664,0.07464,1,0.00400454
905,5,155459557,156345451,AD,Dry_AMD,-0.87844,-1,-0.30701,0.771656,0.09539,1,0.00401573
1829,12,97814022,99244337,AD,Dry_AMD,1,0.25948,1,1,0.06733,1,0.00402196
1361,8,136220343,137527617,AD,Dry_AMD,0.37037,0.12361,0.65031,0.137174,0.01531,0.4229,0.00432411
179,1,230227248,231287764,AD,Dry_AMD,-0.874905,-1,-0.28354,0.765459,0.08064,1,0.00462403
311,2,118663654,119635489,AD,Dry_AMD,-0.717532,-1,-0.23472,0.514852,0.05509,1,0.00464873
1971,14,38722115,40343754,AD,Dry_AMD,0.591003,0.19403,1,0.349285,0.03765,1,0.00477853
1162,7,67474723,68569224,AD,Dry_AMD,-0.497292,-0.99077,-0.15518,0.2473,0.02469,0.98163,0.00479056
744,4,162239290,163245541,AD,Dry_AMD,-0.681898,-1,-0.22574,0.464985,0.0511,1,0.00482824
284,2,78080058,79019676,AD,Dry_AMD,1,0.15524,1,1,0.02841,1,0.00512358
1172,7,81533567,82759283,AD,Dry_AMD,0.423877,0.13692,0.75807,0.179672,0.01875,0.57467,0.00517763
1577,10,99367801,100337830,AD,Dry_AMD,0.474278,0.15623,0.96358,0.22494,0.02448,0.92848,0.00518074
367,2,183352291,184148655,AD,Dry_AMD,-0.631533,-1,-0.20454,0.398833,0.04194,1,0.00550886
2473,22,27952442,29457601,AD,Dry_AMD,-0.728595,-1,-0.24416,0.530851,0.06001,1,0.00567913
2209,17,45883902,47516224,AD,Dry_AMD,-0.64047,-1,-0.19539,0.410202,0.03844,1,0.00581146
1841,12,111592382,113947983,AD,Dry_AMD,0.913355,0.24419,1,0.834217,0.05996,1,0.00589817
1129,7,31730555,32460228,AD,Dry_AMD,-0.379251,-0.70605,-0.11656,0.143832,0.01359,0.4985,0.00590846
1538,10,55867695,57044845,AD,Dry_AMD,0.689734,0.22068,1,0.475732,0.04891,1,0.00613265
368,2,184148656,184866232,AD,Dry_AMD,0.672711,0.20433,1,0.452539,0.0423,1,0.00657034
1555,10,73514215,75694023,AD,Dry_AMD,0.721847,0.21343,1,0.521063,0.04555,1,0.00667356
324,2,132598286,133352950,AD,Dry_AMD,-0.997845,-1,-0.25754,0.995695,0.0674,1,0.00715081
4,1,2983520,3582047,AD,Dry_AMD,-0.374516,-0.67417,-0.10515,0.140262,0.01132,0.45451,0.0073877
968,6,32897999,33194975,AD,Dry_AMD,-0.411894,-0.73044,-0.11952,0.169657,0.01454,0.53354,0.0074722
28,1,27992666,29188426,AD,Dry_AMD,0.972732,0.21169,1,0.946207,0.04558,1,0.00770532
272,2,65938003,67224027,AD,Dry_AMD,0.48866,0.13547,1,0.238789,0.01878,1,0.0086622
1004,6,71610788,72290723,AD,Dry_AMD,-0.782618,-1,-0.22825,0.612492,0.05334,1,0.00888862
2343,19,36638123,38472870,AD,Dry_AMD,-0.425225,-0.90381,-0.11205,0.180816,0.01285,0.81687,0.0089187
869,5,111983116,113121555,AD,Dry_AMD,0.419585,0.10809,0.79454,0.176051,0.01207,0.63129,0.00893222
2111,16,8341013,9104469,AD,Dry_AMD,-0.507834,-1,-0.1387,0.257895,0.01963,1,0.00909202
1913,13,73114510,74437635,AD,Dry_AMD,-0.360358,-0.65217,-0.09603,0.129858,0.00952,0.42533,0.00910807
617,4,17290237,18753263,AD,Dry_AMD,0.829169,0.2183,1,0.687522,0.04972,1,0.00912722
2373,20,3736552,4591847,AD,Dry_AMD,-0.409371,-0.81887,-0.1072,0.167585,0.01166,0.67055,0.00914593
1199,7,116835337,118342090,AD,Dry_AMD,-1,-1,-0.10172,1,0.01644,1,0.00928033
1773,12,31797153,32368905,AD,Dry_AMD,-1,-1,-0.20849,1,0.04543,1,0.00959085
1572,10,92911507,94503299,AD,Dry_AMD,-0.637172,-1,-0.17446,0.405988,0.03237,1,0.010142
1338,8,109920828,111207349,AD,Dry_AMD,-0.972237,-1,-0.2425,0.945245,0.06002,1,0.0103323
1563,10,83596351,84679429,AD,Dry_AMD,-0.939018,-1,-0.18849,0.881755,0.03759,1,0.0108287
1857,12,129170297,129887418,AD,Dry_AMD,-0.644086,-1,-0.14304,0.414847,0.02154,1,0.0111281
947,6,23192338,23939306,AD,Dry_AMD,-0.693522,-1,-0.1633,0.480973,0.02705,1,0.0112929
578,3,178110323,179372165,AD,Dry_AMD,0.530339,0.14184,1,0.281259,0.02062,1,0.0114034
746,4,163937104,164781847,AD,Dry_AMD,0.498337,0.11805,1,0.24834,0.01463,1,0.0114525
1315,8,81340232,82878769,AD,Dry_AMD,0.441258,0.10399,0.9598,0.194709,0.01196,0.92122,0.0116103
2012,14,84087373,85562936,AD,Dry_AMD,-0.690422,-1,-0.15896,0.476683,0.02657,1,0.0118989
828,5,60930754,62180368,AD,Dry_AMD,-0.599553,-1,-0.1557,0.359463,0.02443,1,0.0121288
1474,9,130902728,132193798,AD,Dry_AMD,0.883335,0.15036,1,0.78028,0.02483,1,0.0122712
894,5,142532957,143605908,AD,Dry_AMD,0.555591,0.13302,1,0.308681,0.01874,1,0.0122912
1708,11,100423902,101152831,AD,Dry_AMD,-0.795842,-1,-0.20132,0.633365,0.04229,1,0.0123841
207,2,4016105,4766969,AD,Dry_AMD,0.566571,0.13354,1,0.321003,0.01861,1,0.0124586
1159,7,65294278,66453993,AD,Dry_AMD,-0.720204,-1,-0.18639,0.518694,0.03591,1,0.0124945
1929,13,88968401,89764426,AD,Dry_AMD,1,0.07457,1,1,0.01367,1,0.0127328
49,1,56799637,57529670,AD,Dry_AMD,-0.717035,-1,-0.158,0.51414,0.02693,1,0.0128757
771,4,186881569,187985393,AD,Dry_AMD,0.78015,0.17119,1,0.608634,0.03179,1,0.0128829
662,4,66597447,67616362,AD,Dry_AMD,0.50799,0.12286,1,0.258054,0.01585,1,0.0130441
726,4,138537345,139553760,AD,Dry_AMD,0.604344,0.14817,1,0.365232,0.02322,1,0.0133454
791,5,16592320,17803477,AD,Dry_AMD,-0.677296,-1,-0.15424,0.45873,0.02621,1,0.0133867
1791,12,53039988,54371448,AD,Dry_AMD,0.342505,0.07674,0.64067,0.11731,0.00626,0.41046,0.013504
2350,19,43960959,45040932,AD,Dry_AMD,-0.473123,-1,-0.10341,0.223845,0.01206,1,0.0137825
2040,15,27563173,29141035,AD,Dry_AMD,-0.328206,-0.63659,-0.07104,0.107719,0.00527,0.40525,0.0140069
1940,13,101573737,103050417,AD,Dry_AMD,0.86838,0.19513,1,0.754085,0.04075,1,0.014043
228,2,24669225,25895394,AD,Dry_AMD,0.511694,0.10208,1,0.261831,0.01184,1,0.0149197
221,2,15721704,17241115,AD,Dry_AMD,-0.432234,-0.89351,-0.08987,0.186826,0.00877,0.79836,0.0149534
901,5,151892618,152878627,AD,Dry_AMD,0.521659,0.10745,1,0.272128,0.01303,1,0.0156936
1858,12,129887419,130629840,AD,Dry_AMD,-0.411106,-0.86611,-0.08911,0.169008,0.00879,0.75014,0.0157998
2001,14,71140427,72665319,AD,Dry_AMD,-0.330076,-0.63841,-0.0659,0.10895,0.00476,0.40756,0.0158258
2318,19,10028841,11681978,AD,Dry_AMD,-0.518462,-1,-0.10668,0.268803,0.01336,1,0.0158582
5,1,3582048,4281476,AD,Dry_AMD,-0.372369,-0.75794,-0.07686,0.138659,0.00669,0.57448,0.0160697
522,3,117241645,118086929,AD,Dry_AMD,0.573903,0.11822,1,0.329365,0.01641,1,0.0164097
382,2,203639687,205038119,AD,Dry_AMD,-1,-1,-0.03701,1,0.00817,1,0.0164098
2414,20,50653621,51533750,AD,Dry_AMD,0.487013,0.08843,1,0.237182,0.00853,1,0.0165076
1512,10,24489448,25577761,AD,Dry_AMD,0.522656,0.1066,1,0.273169,0.01305,1,0.0165846
2301,18,73568261,74471745,AD,Dry_AMD,-0.802595,-1,-0.15152,0.644158,0.02585,1,0.0172679
2264,18,32458908,34153297,AD,Dry_AMD,0.529197,0.11037,1,0.280049,0.01369,1,0.0173414
2272,18,42974166,44300145,AD,Dry_AMD,-0.476645,-1,-0.08718,0.227191,0.00923,1,0.0174667
1027,6,95176338,96480153,AD,Dry_AMD,-0.786784,-1,-0.1497,0.619029,0.02359,1,0.017781
2089,15,89385188,90632718,AD,Dry_AMD,-0.276158,-0.51596,-0.05116,0.0762635,0.003,0.26621,0.0179079
1964,14,30831155,32382245,AD,Dry_AMD,-0.501264,-1,-0.09942,0.251266,0.012,1,0.0185687
1977,14,44623274,45817082,AD,Dry_AMD,0.531569,0.09575,1,0.282566,0.0109,1,0.018575
2033,14,106876549,107289435,AD,Dry_AMD,0.619438,0.12694,1,0.383703,0.01835,1,0.0187945
1896,13,54684857,55576912,AD,Dry_AMD,-0.676531,-1,-0.13213,0.457694,0.02115,1,0.0188284
847,5,85311780,86493763,AD,Dry_AMD,0.430474,0.07745,0.96952,0.185308,0.00696,0.93997,0.0191434
43,1,48105234,49185414,AD,Dry_AMD,0.457798,0.07885,1,0.209579,0.00798,1,0.0194696
907,5,157191082,158484775,AD,Dry_AMD,-0.454155,-0.93411,-0.07565,0.206256,0.0068,0.87257,0.0200897
338,2,149568876,151428988,AD,Dry_AMD,-1,-1,-0.11782,1,0.01887,1,0.0202496
2191,17,17326541,18900978,AD,Dry_AMD,-0.531074,-1,-0.08234,0.28204,0.00961,1,0.0202626
2337,19,30375793,31763008,AD,Dry_AMD,0.354275,0.05812,0.71109,0.125511,0.00403,0.50564,0.020336
1579,10,101271452,102509298,AD,Dry_AMD,0.489796,0.07759,1,0.2399,0.00803,1,0.0205287
1300,8,63253463,64215358,AD,Dry_AMD,-0.778526,-1,-0.1498,0.606103,0.03121,1,0.0206667
2358,19,51259179,51903804,AD,Dry_AMD,-0.353637,-0.7858,-0.0644,0.125059,0.00488,0.61748,0.0210135
818,5,51203266,52139773,AD,Dry_AMD,-0.95315,-1,-0.14684,0.908496,0.02679,1,0.021086
558,3,156795411,157633700,AD,Dry_AMD,-0.767202,-1,-0.12029,0.588598,0.0176,1,0.0211533
141,1,186179448,187072605,AD,Dry_AMD,-0.442401,-1,-0.08738,0.195719,0.00991,1,0.0211966
1938,13,99402295,100470868,AD,Dry_AMD,0.519945,0.10809,1,0.270343,0.01323,1,0.0216778
1187,7,100849308,101950748,AD,Dry_AMD,0.799466,0.10083,1,0.639146,0.01402,1,0.0221014
1044,6,115062812,116132147,AD,Dry_AMD,0.515135,0.08454,1,0.265364,0.00932,1,0.022404
1686,11,79802287,80726012,AD,Dry_AMD,-1,-1,-0.12214,1,0.02049,1,0.0224075
1498,10,10969482,11856924,AD,Dry_AMD,0.304579,0.04707,0.60413,0.0927685,0.00284,0.36497,0.0228094
409,2,233352723,234115092,AD,Dry_AMD,-0.706762,-1,-0.11017,0.499512,0.01563,1,0.0230107
2019,14,92101229,93386328,AD,Dry_AMD,0.548195,0.08055,1,0.300517,0.00876,1,0.0230281
395,2,218396259,219678783,AD,Dry_AMD,0.491086,0.06867,1,0.241166,0.00719,1,0.0232705
803,5,30416067,31679464,AD,Dry_AMD,-0.591141,-1,-0.08508,0.349448,0.01069,1,0.0233075
1022,6,89974268,91097024,AD,Dry_AMD,-0.406339,-0.93802,-0.05815,0.165111,0.00506,0.87988,0.0236764
1390,9,14902925,15839403,AD,Dry_AMD,0.515435,0.08146,1,0.265673,0.00875,1,0.0237716
1336,8,107787164,108647463,AD,Dry_AMD,-0.97272,-1,-0.1331,0.946183,0.0258,1,0.0244385
52,1,59889046,61377615,AD,Dry_AMD,0.546997,0.08356,1,0.299206,0.0092,1,0.024702
649,4,49325139,53879571,AD,Dry_AMD,-0.323383,-0.69789,-0.05453,0.104577,0.00392,0.48704,0.0248472
982,6,47313444,48393981,AD,Dry_AMD,0.551792,0.07153,1,0.304474,0.00823,1,0.0251584
307,2,113930669,115203835,AD,Dry_AMD,-1,-1,-0.03634,1,0.00836,1,0.0252014
2353,19,46765061,47752727,AD,Dry_AMD,-0.221305,-0.42339,-0.03028,0.0489757,0.00138,0.17926,0.025243
2063,15,57641165,58712954,AD,Dry_AMD,0.334063,0.04446,0.65561,0.111598,0.00331,0.42983,0.0258125
1293,8,56346879,57436722,AD,Dry_AMD,1,0.02844,1,1,0.00997,1,0.0262662
2293,18,65294196,66407960,AD,Dry_AMD,-0.525373,-1,-0.07763,0.276017,0.0088,1,0.0263211
2471,22,26166935,27192923,AD,Dry_AMD,0.47326,0.06999,1,0.223975,0.00766,1,0.0263441
738,4,155044410,156520288,AD,Dry_AMD,0.724343,0.08228,1,0.524672,0.01313,1,0.0267505
552,3,149998412,151131307,AD,Dry_AMD,0.435921,0.05718,1,0.190028,0.00553,1,0.0270507
2281,18,52512524,53762996,AD,Dry_AMD,-0.575936,-1,-0.07833,0.331702,0.01087,1,0.0278391
224,2,20064518,21084898,AD,Dry_AMD,0.365245,0.03451,0.76583,0.133404,0.0033,0.58649,0.0287459
201,2,10181,789195,AD,Dry_AMD,-0.92295,-1,-0.09596,0.851837,0.01264,1,0.0287905
1068,6,144791456,145778282,AD,Dry_AMD,0.299842,0.03465,0.59302,0.0899051,0.00234,0.35167,0.0292906
2110,16,7704355,8341012,AD,Dry_AMD,-0.567583,-1,-0.0745,0.32215,0.00899,1,0.0294384
1078,6,154462011,155523957,AD,Dry_AMD,0.640017,0.07433,1,0.409622,0.01105,1,0.0296506
1369,8,144934289,146303787,AD,Dry_AMD,-0.656526,-1,-0.07155,0.431027,0.00756,1,0.0297261
1610,11,87150,1061399,AD,Dry_AMD,0.490984,0.05563,1,0.241066,0.00538,1,0.0297584
410,2,234115093,234945577,AD,Dry_AMD,-0.728061,-1,-0.08578,0.530073,0.01283,1,0.0299256
1783,12,43980532,44923825,AD,Dry_AMD,-0.333477,-0.84532,-0.0353,0.111207,0.00264,0.71457,0.0299858
1072,6,149278799,150635315,AD,Dry_AMD,-0.545911,-1,-0.0623,0.298018,0.00774,1,0.0301994
2208,17,44865833,45883901,AD,Dry_AMD,-1,-1,-0.02503,1,0.00733,1,0.0302974
1491,10,4813183,5396242,AD,Dry_AMD,0.294692,0.0268,0.58402,0.0868432,0.00154,0.34108,0.0303534
1683,11,76518907,77719870,AD,Dry_AMD,0.45515,0.05641,1,0.207161,0.00504,1,0.0304243
914,5,165289212,166863413,AD,Dry_AMD,-0.77392,-1,-0.07295,0.598952,0.01028,1,0.0304646
137,1,181324206,182420540,AD,Dry_AMD,-0.461156,-1,-0.05553,0.212665,0.00584,1,0.0305965
1221,7,147352172,148622913,AD,Dry_AMD,0.526503,0.05826,1,0.277206,0.00741,1,0.0308179
829,5,62180369,63214089,AD,Dry_AMD,-0.652324,-1,-0.09141,0.425526,0.01443,1,0.0308975
1478,9,135135888,136042490,AD,Dry_AMD,0.328718,0.03135,0.71245,0.108055,0.00243,0.50758,0.0311841
2363,19,54602371,55182973,AD,Dry_AMD,-0.329294,-0.83049,-0.03776,0.108434,0.003,0.68972,0.0315494
2319,19,11681979,13213186,AD,Dry_AMD,-0.505017,-1,-0.06204,0.255042,0.00662,1,0.0317026
374,2,191051955,193033982,AD,Dry_AMD,0.423589,0.0479,1,0.179428,0.0051,1,0.0317066
2020,14,93386329,94892240,AD,Dry_AMD,-0.367275,-0.80068,-0.03638,0.134891,0.00307,0.64108,0.0317658
1127,7,28890887,30175113,AD,Dry_AMD,-0.623503,-1,-0.06374,0.388756,0.00792,1,0.0319104
298,2,101556800,102494487,AD,Dry_AMD,-0.394039,-0.96602,-0.05001,0.155267,0.00407,0.93446,0.0323841
73,1,84728348,86017267,AD,Dry_AMD,0.507383,0.05275,1,0.257437,0.00585,1,0.0330082
2249,18,10675549,11872226,AD,Dry_AMD,-0.330066,-0.74568,-0.02351,0.108943,0.00213,0.55604,0.0338698
1746,12,6023701,6948954,AD,Dry_AMD,-1,-1,-0.05717,1,0.00895,1,0.0348274
964,6,32539568,32586784,AD,Dry_AMD,-0.18904,-0.36718,-0.01715,0.0357362,8e-04,0.13482,0.0349664
2098,15,98828262,99925972,AD,Dry_AMD,-0.281573,-0.56612,-0.01575,0.0792836,0.00128,0.32049,0.0351894
1399,9,23091194,23859374,AD,Dry_AMD,0.956698,0.08067,1,0.91527,0.01359,1,0.0354306
174,1,223654903,224943337,AD,Dry_AMD,-0.64809,-1,-0.04703,0.420021,0.00759,1,0.0355513
1720,11,113889020,114742317,AD,Dry_AMD,0.652641,0.04699,1,0.42594,0.00666,1,0.0361905
157,1,204092538,205009623,AD,Dry_AMD,0.291688,0.02255,0.60487,0.0850822,0.00154,0.36587,0.0364345
1334,8,105370131,106500950,AD,Dry_AMD,0.441738,0.02964,1,0.195133,0.00374,1,0.0366411
2139,16,58508979,59885499,AD,Dry_AMD,0.522657,0.05013,1,0.27317,0.00639,1,0.03733
2284,18,55809316,56832312,AD,Dry_AMD,0.878349,0.06366,1,0.771497,0.01043,1,0.0376485
1765,12,25058715,25990813,AD,Dry_AMD,0.391921,0.02479,1,0.153602,0.00244,1,0.0378114
2053,15,46022643,46884071,AD,Dry_AMD,-0.506588,-1,-0.03784,0.256631,0.0047,1,0.0380608
1155,7,57383658,61969717,AD,Dry_AMD,-0.432048,-1,-0.02578,0.186666,0.00409,1,0.0381388
1367,8,142611890,143611461,AD,Dry_AMD,-0.437711,-1,-0.03287,0.191591,0.0033,1,0.0383152
1670,11,59256233,60515105,AD,Dry_AMD,0.462649,0.02625,1,0.214044,0.00376,1,0.0383818
2068,15,63218979,64339945,AD,Dry_AMD,0.330269,0.02203,0.67758,0.109078,0.00185,0.45911,0.0387558
193,1,241813535,242417923,AD,Dry_AMD,0.481693,0.02649,1,0.232028,0.00389,1,0.0393348
1950,13,111621245,112319064,AD,Dry_AMD,0.493356,0.03328,1,0.2434,0.00427,1,0.0394113
81,1,92904466,94168576,AD,Dry_AMD,0.367217,0.01947,0.86687,0.134848,0.00236,0.75147,0.0395653
2231,17,74908267,75619256,AD,Dry_AMD,-0.358656,-0.89341,-0.02455,0.128634,0.00246,0.79852,0.039691
570,3,168972663,170174578,AD,Dry_AMD,-0.283178,-0.56872,-0.01959,0.0801898,0.0016,0.32345,0.0397982
151,1,196179111,197935821,AD,Dry_AMD,-0.166508,-0.32949,-0.00517,0.0277248,0.00044,0.10856,0.0399285
559,3,157633701,158460058,AD,Dry_AMD,-1,-1,0.07449,1,0,1,0.0400055
783,5,6936734,8079415,AD,Dry_AMD,0.743454,0.04043,1,0.552724,0.00713,1,0.0400811
399,2,222327714,223353965,AD,Dry_AMD,-0.289264,-0.62214,-0.01468,0.0836737,0.00148,0.38706,0.0410546
128,1,170193208,171044255,AD,Dry_AMD,0.756764,0.03441,1,0.572692,0.00648,1,0.0414949
163,1,212347583,213958292,AD,Dry_AMD,-1,-1,0.08785,1,0,1,0.0415305
2024,14,98268392,98885322,AD,Dry_AMD,-0.491291,-1,-0.03014,0.241367,0.00462,1,0.041611
35,1,36855140,38474036,AD,Dry_AMD,0.431273,0.02678,1,0.185996,0.00329,1,0.0416535
148,1,193575517,194365688,AD,Dry_AMD,-0.23273,-0.46591,-0.00798,0.0541634,0.00075,0.21707,0.0440904
1633,11,21442723,22368743,AD,Dry_AMD,0.461514,-0.00041,1,0.212996,0,1,0.0442652
2302,18,74471746,75240760,AD,Dry_AMD,-0.252293,-0.50692,-0.00569,0.0636516,0.00096,0.25697,0.0445921
2195,17,25872111,27344401,AD,Dry_AMD,0.59608,0.01746,1,0.355312,0.00486,1,0.0446551
2246,18,7862480,8788524,AD,Dry_AMD,0.799082,0.01462,1,0.638531,0.00658,1,0.0447635
2413,20,49236419,50653620,AD,Dry_AMD,-0.350297,-0.89713,-0.0086,0.122708,0.00162,0.80485,0.0454036
2048,15,37962916,39238840,AD,Dry_AMD,-0.240247,-0.51486,-0.00331,0.0577185,0.00079,0.26508,0.0455953
1212,7,134943222,136113467,AD,Dry_AMD,0.766004,0.03438,1,0.586762,0.00778,1,0.0456129
1358,8,133461552,134509448,AD,Dry_AMD,-0.546238,-1,-0.02129,0.298376,0.00485,1,0.0456151
1043,6,113705004,115062811,AD,Dry_AMD,0.364205,0.01406,0.77987,0.132645,0.00191,0.6082,0.0456336
1142,7,46247336,47253454,AD,Dry_AMD,-0.337367,-0.70125,-0.00923,0.113816,0.00162,0.49175,0.0456429
1373,9,1874962,2441120,AD,Dry_AMD,-0.388324,-1,-0.00598,0.150796,0.00227,1,0.0463909
600,4,3549230,4266178,AD,Dry_AMD,-0.340037,-0.80709,-0.01229,0.115625,0.00181,0.65139,0.0466631
1400,9,23859375,24757729,AD,Dry_AMD,0.763415,0.02176,1,0.582802,0.00544,1,0.0467463
686,4,96183802,97540787,AD,Dry_AMD,0.576577,0.013,1,0.332441,0.00485,1,0.0471089
1348,8,121554391,122622804,AD,Dry_AMD,0.353876,0.00406,0.87819,0.125228,0.00174,0.77664,0.0478501
131,1,173582512,175385220,AD,Dry_AMD,0.742207,0.01966,1,0.550872,0.00727,1,0.048342
693,4,104384535,105319195,AD,Dry_AMD,-0.437207,-1,-0.00285,0.19115,0.00239,1,0.0484092
1694,11,87676871,88359287,AD,Dry_AMD,0.648952,0.03955,1,0.421139,0.00748,1,0.0491473
1196,7,111795300,113339386,AD,Dry_AMD,-0.555416,-1,-0.01196,0.308486,0.00396,1,0.0492858
13,1,10753428,11709173,AD,Dry_AMD,0.317731,0.0042,0.84808,0.100953,0.0013,0.71924,0.0498024
2447,21,32202240,33270272,AD,Dry_AMD,0.303528,-0.00375,0.63492,0.0921295,0,0.40313,0.0500043
341,2,153999310,155207969,AD,Dry_AMD,-0.489213,-1,-0.00712,0.239329,0.00338,1,0.050472
1462,9,117054910,117989017,AD,Dry_AMD,-0.454045,-1,-0.00337,0.206157,0.00262,1,0.0509772
2385,20,15238520,15962576,AD,Dry_AMD,-0.335002,-0.74399,-0.00311,0.112227,0.00136,0.55353,0.051237
447,3,26905341,27614908,AD,Dry_AMD,-0.627205,-1,-0.01192,0.393386,0.00554,1,0.0523554
176,1,226534712,228045554,AD,Dry_AMD,-0.454283,-1,-0.00833,0.206373,0.00235,1,0.0524885
980,6,45408422,46430701,AD,Dry_AMD,0.432683,-0.01106,1,0.187214,0,1,0.0526041
1016,6,83571954,85038134,AD,Dry_AMD,0.409051,-0.0031,1,0.167322,0,1,0.052776
2391,20,19957929,21682377,AD,Dry_AMD,-0.514955,-1,0.00432,0.265178,0,1,0.0540375
2240,18,1940212,2839842,AD,Dry_AMD,0.47,-0.00824,1,0.2209,0,1,0.0541022
2400,20,33890061,35990261,AD,Dry_AMD,0.585448,0.01203,1,0.342749,0.00358,1,0.0543621
1176,7,86446539,87836641,AD,Dry_AMD,-0.469838,-1,-0.00772,0.220748,0.00337,1,0.0545919
1597,10,123856185,124894142,AD,Dry_AMD,0.142977,-0.00207,0.28886,0.0204423,0,0.08344,0.0546908
1550,10,68623275,69904170,AD,Dry_AMD,-0.52311,-1,0.01652,0.273644,0,1,0.0546993
197,1,245970506,246610290,AD,Dry_AMD,-0.325308,-0.7555,0.00639,0.105825,0,0.57124,0.0548466
1695,11,88359288,89209738,AD,Dry_AMD,0.798628,0.00012,1,0.637806,0.00759,1,0.0550823
1963,14,29029225,30831154,AD,Dry_AMD,0.317434,-0.00578,0.6829,0.100764,0,0.46635,0.0551363
1801,12,66114644,67183620,AD,Dry_AMD,0.284094,-0.00836,0.65701,0.0807095,0,0.43166,0.0552033
2334,19,24567342,28555845,AD,Dry_AMD,0.565174,-0.00537,1,0.319421,0,1,0.0553367
1391,9,15839404,16658377,AD,Dry_AMD,-0.47323,-1,0.01747,0.223946,0,1,0.0559226
2436,21,20407308,21632916,AD,Dry_AMD,0.357094,-0.009,0.87293,0.127516,0,0.762,0.0565496
