locus,CHR,START,STOP,phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p
1932,13,91764205,93285142,Wet_AMD,AD,1,0.25544,1,1,0.06542,1,0.00108584
1571,10,91960436,92911506,Wet_AMD,AD,-0.855399,-1,-0.37746,0.731707,0.14248,1,0.00115139
1253,8,12947936,13395051,Wet_AMD,AD,0.921926,0.38265,1,0.849947,0.14642,1,0.00131363
695,4,106479156,108131206,Wet_AMD,AD,-0.379171,-0.62574,-0.15928,0.143771,0.02537,0.39155,0.00141864
972,6,36346354,37570051,Wet_AMD,AD,0.922192,0.36934,1,0.850438,0.13641,1,0.00143721
1929,13,88968401,89764426,Wet_AMD,AD,-0.485371,-0.79126,-0.20648,0.235585,0.04264,0.6261,0.00145894
1995,14,64033238,65229391,Wet_AMD,AD,-0.48655,-0.8103,-0.18978,0.236731,0.03602,0.65659,0.0014878
2209,17,45883902,47516224,Wet_AMD,AD,-0.705725,-1,-0.25884,0.498047,0.067,1,0.00229029
1315,8,81340232,82878769,Wet_AMD,AD,0.596376,0.2217,1,0.355664,0.04915,1,0.00250206
585,3,187939200,189451805,Wet_AMD,AD,-0.481414,-0.97692,-0.15945,0.23176,0.02544,0.95437,0.00338503
1093,6,169667887,171053405,Wet_AMD,AD,-0.778021,-1,-0.28303,0.605317,0.08038,1,0.00356333
2172,16,89106305,90292787,Wet_AMD,AD,-0.286175,-0.48262,-0.09571,0.0818963,0.00916,0.23292,0.00381571
617,4,17290237,18753263,Wet_AMD,AD,0.347637,0.11938,0.58854,0.120852,0.01425,0.34638,0.00393408
1490,10,3880323,4813182,Wet_AMD,AD,0.44099,0.15383,0.80169,0.194472,0.02379,0.64271,0.0040742
1605,10,131694739,132576793,Wet_AMD,AD,-0.578205,-1,-0.18805,0.334321,0.03571,1,0.00443648
1187,7,100849308,101950748,Wet_AMD,AD,0.463942,0.14734,0.85336,0.215242,0.02173,0.72822,0.00468086
814,5,44049879,45305566,Wet_AMD,AD,0.754504,0.23467,1,0.569277,0.05525,1,0.00502194
691,4,101132996,102544803,Wet_AMD,AD,0.651787,0.20664,1,0.424827,0.04328,1,0.005166
133,1,176449097,177746472,Wet_AMD,AD,-0.668737,-1,-0.23127,0.447209,0.05377,1,0.00519668
2306,19,64705,762046,Wet_AMD,AD,-0.420177,-0.80639,-0.13787,0.176548,0.01906,0.65027,0.00521205
387,2,209940231,210842457,Wet_AMD,AD,-0.738567,-1,-0.25677,0.545482,0.06593,1,0.00522946
1172,7,81533567,82759283,Wet_AMD,AD,0.721914,0.23928,1,0.52116,0.05858,1,0.0053501
1396,9,19463293,20483880,Wet_AMD,AD,0.559158,0.16948,1,0.312658,0.02872,1,0.00540247
1819,12,85345632,86933476,Wet_AMD,AD,-0.359078,-0.62823,-0.11055,0.128937,0.01227,0.39467,0.00622255
1674,11,64594823,66782661,Wet_AMD,AD,0.262622,0.07421,0.45156,0.0689703,0.0056,0.2039,0.00628814
2078,15,77897164,78514101,Wet_AMD,AD,0.364301,0.10597,0.64236,0.132715,0.01127,0.41263,0.00651554
1070,6,147015883,148184844,Wet_AMD,AD,-0.642192,-1,-0.18999,0.412411,0.03666,1,0.00672841
2019,14,92101229,93386328,Wet_AMD,AD,-0.40024,-0.77609,-0.12056,0.160192,0.01459,0.60232,0.00685702
952,6,27261036,28666364,Wet_AMD,AD,0.384012,0.11133,0.67829,0.147465,0.01255,0.46008,0.00714483
1459,9,114443476,115390112,Wet_AMD,AD,-0.633806,-1,-0.19216,0.401709,0.0379,1,0.00743998
1072,6,149278799,150635315,Wet_AMD,AD,-0.564493,-1,-0.15496,0.318652,0.02478,1,0.00754761
2127,16,27443062,29043177,Wet_AMD,AD,0.392077,0.10461,0.72633,0.153724,0.01121,0.52756,0.00762326
963,6,32454578,32539567,Wet_AMD,AD,-0.682131,-1,-0.26541,0.465303,0.0715,1,0.00770814
1023,6,91097025,92015279,Wet_AMD,AD,0.895198,0.24874,1,0.80138,0.06299,1,0.00792257
535,3,130242361,131373470,Wet_AMD,AD,0.539595,0.15206,1,0.291162,0.02366,1,0.00814262
496,3,85807680,86660979,Wet_AMD,AD,0.950047,0.2918,1,0.90259,0.08777,1,0.00871403
1752,12,11742150,12721874,Wet_AMD,AD,-0.960531,-1,-0.23916,0.92262,0.05979,1,0.0089487
886,5,128734906,130573817,Wet_AMD,AD,0.248093,0.06537,0.43889,0.0615502,0.00444,0.19263,0.00907363
980,6,45408422,46430701,Wet_AMD,AD,0.465576,0.12219,0.89012,0.216761,0.01555,0.79231,0.00951227
380,2,201324133,202504862,Wet_AMD,AD,-0.493475,-0.95135,-0.12654,0.243518,0.01626,0.90506,0.00963466
1577,10,99367801,100337830,Wet_AMD,AD,0.508068,0.13458,0.99023,0.258133,0.01872,0.98055,0.00984936
1105,7,8718352,9225106,Wet_AMD,AD,-1,-1,-0.11178,1,0.01893,1,0.0101548
1779,12,40017397,41198229,Wet_AMD,AD,0.833773,0.21145,1,0.695177,0.04726,1,0.0103255
76,1,87667573,88656689,Wet_AMD,AD,0.349943,0.08701,0.64416,0.12246,0.0077,0.41494,0.0105462
1433,9,89171797,90135154,Wet_AMD,AD,0.679489,0.17689,1,0.461705,0.03223,1,0.0109158
1579,10,101271452,102509298,Wet_AMD,AD,-0.456031,-0.98544,-0.11125,0.207964,0.01241,0.97109,0.0114441
525,3,119759984,120574477,Wet_AMD,AD,0.57919,0.13206,1,0.335461,0.01931,1,0.0114473
2089,15,89385188,90632718,Wet_AMD,AD,-0.254359,-0.45358,-0.05589,0.0646987,0.00333,0.20574,0.0115712
1686,11,79802287,80726012,Wet_AMD,AD,-1,-1,-0.19367,1,0.03931,1,0.0120399
2269,18,39410166,40471407,Wet_AMD,AD,-0.914812,-1,-0.21944,0.83688,0.0516,1,0.012071
2419,20,54743695,55448075,Wet_AMD,AD,0.738547,0.17098,1,0.545452,0.03046,1,0.0120974
770,4,186232883,186881568,Wet_AMD,AD,0.527358,0.12994,1,0.278106,0.01763,1,0.0127506
1862,12,132957946,133841814,Wet_AMD,AD,0.545789,0.12985,1,0.297885,0.0181,1,0.0129812
2273,18,44300146,45718492,Wet_AMD,AD,0.934605,0.18814,1,0.873486,0.03694,1,0.0137955
249,2,44104111,45189468,Wet_AMD,AD,0.350059,0.07408,0.65446,0.122542,0.00631,0.42832,0.0139099
2256,18,21622717,22746153,Wet_AMD,AD,-0.787211,-1,-0.17685,0.619701,0.03391,1,0.0144858
2265,18,34153298,36056932,Wet_AMD,AD,-0.649004,-1,-0.13143,0.421207,0.02029,1,0.0146435
82,1,94168577,95122541,Wet_AMD,AD,0.718603,0.16382,1,0.51639,0.03052,1,0.0149827
114,1,156813846,158081627,Wet_AMD,AD,-0.530587,-1,-0.1141,0.281522,0.01493,1,0.0151671
1293,8,56346879,57436722,Wet_AMD,AD,1,0.20546,1,1,0.04901,1,0.0152055
2171,16,88387229,89106304,Wet_AMD,AD,0.322783,0.06604,0.6186,0.104189,0.00481,0.38266,0.0155522
2291,18,63109756,64253143,Wet_AMD,AD,-0.518948,-1,-0.10483,0.269307,0.01257,1,0.0163779
1817,12,83551126,84356775,Wet_AMD,AD,-0.755456,-1,-0.18076,0.570714,0.03571,1,0.0175606
1874,13,30068526,31433218,Wet_AMD,AD,-0.453221,-0.93834,-0.09658,0.205409,0.01016,0.88047,0.0179411
1952,13,113573119,114302561,Wet_AMD,AD,-0.447606,-0.91752,-0.08701,0.200351,0.00924,0.84185,0.0187338
420,2,241910367,243188366,Wet_AMD,AD,0.366031,0.07557,0.96761,0.133979,0.0064,0.93626,0.0191749
901,5,151892618,152878627,Wet_AMD,AD,1,0.04326,1,1,0.01316,1,0.0193175
2334,19,24567342,28555845,Wet_AMD,AD,-0.49957,-1,-0.09173,0.249571,0.01016,1,0.0193691
1115,7,15877565,16739013,Wet_AMD,AD,-0.697083,-1,-0.1362,0.485924,0.02069,1,0.0196474
1233,8,660415,1161824,Wet_AMD,AD,-0.655305,-1,-0.1132,0.429425,0.01649,1,0.0196994
2091,15,91593624,92675405,Wet_AMD,AD,-0.587186,-1,-0.11329,0.344787,0.01456,1,0.0199602
2090,15,90632719,91593623,Wet_AMD,AD,-0.342993,-0.66175,-0.05522,0.117644,0.0039,0.43791,0.0205499
1825,12,94385885,95147845,Wet_AMD,AD,-0.433349,-0.93524,-0.06127,0.187791,0.0051,0.87468,0.0205987
2177,17,3430441,4463971,Wet_AMD,AD,0.363251,0.05723,0.73936,0.131951,0.00463,0.54666,0.0206499
1646,11,33905328,34672697,Wet_AMD,AD,-0.570031,-1,-0.10105,0.324935,0.01239,1,0.0210123
1394,9,17990566,18754196,Wet_AMD,AD,0.541144,0.09105,1,0.292837,0.01053,1,0.0218309
821,5,53747857,55221398,Wet_AMD,AD,-0.395871,-0.91485,-0.06678,0.156714,0.00551,0.83695,0.0218732
1971,14,38722115,40343754,Wet_AMD,AD,0.470906,0.07137,1,0.221752,0.00737,1,0.0218886
2233,17,76596288,77412786,Wet_AMD,AD,0.622396,0.08186,1,0.387377,0.0095,1,0.0219542
1043,6,113705004,115062811,Wet_AMD,AD,0.708921,0.12995,1,0.502569,0.02138,1,0.0220121
1226,7,153241229,154407487,Wet_AMD,AD,-0.4561,-1,-0.07681,0.208027,0.00797,1,0.0220798
438,3,16084006,17182494,Wet_AMD,AD,0.488795,0.08025,1,0.238921,0.00853,1,0.0221313
1358,8,133461552,134509448,Wet_AMD,AD,-0.563861,-1,-0.08891,0.317939,0.01053,1,0.0221817
140,1,184953090,186179447,Wet_AMD,AD,0.445088,0.07285,0.95923,0.198104,0.00671,0.92012,0.0228929
15,1,13481026,14720131,Wet_AMD,AD,-0.657623,-1,-0.0959,0.432468,0.01343,1,0.0235671
1964,14,30831155,32382245,Wet_AMD,AD,-0.783279,-1,-0.1142,0.613525,0.01701,1,0.0238422
1778,12,38746761,40017396,Wet_AMD,AD,0.617114,0.09777,1,0.38083,0.01316,1,0.0239036
734,4,149998529,151014322,Wet_AMD,AD,-0.940142,-1,-0.13475,0.883867,0.02144,1,0.0243765
1427,9,81161598,82601465,Wet_AMD,AD,-0.42699,-1,-0.06141,0.18232,0.00579,1,0.0243854
304,2,108417774,110097868,Wet_AMD,AD,-0.523971,-1,-0.08307,0.274546,0.00922,1,0.0244387
507,3,100552523,101906989,Wet_AMD,AD,-0.438992,-0.90812,-0.06371,0.192714,0.00609,0.82467,0.0245124
2353,19,46765061,47752727,Wet_AMD,AD,-0.195586,-0.37088,-0.02825,0.038254,0.00102,0.13755,0.0245366
1946,13,108521979,109156765,Wet_AMD,AD,0.497681,0.06997,1,0.247687,0.00742,1,0.0251366
1320,8,87563146,89081177,Wet_AMD,AD,0.603156,0.09172,1,0.363797,0.01196,1,0.0253232
344,2,157556097,159040979,Wet_AMD,AD,0.355831,0.04497,0.72242,0.126616,0.00318,0.52189,0.0257683
2481,22,36135969,37364004,Wet_AMD,AD,-0.275225,-0.53543,-0.03838,0.0757486,0.00219,0.28668,0.0259885
1134,7,36507691,37981936,Wet_AMD,AD,0.323657,0.04769,0.67949,0.104754,0.00316,0.46171,0.0260361
1588,10,113117616,114255954,Wet_AMD,AD,-0.847881,-1,-0.10652,0.718902,0.0168,1,0.0261571
747,4,164781848,165824650,Wet_AMD,AD,0.758664,0.10316,1,0.575571,0.01528,1,0.0263788
430,3,7529555,8664892,Wet_AMD,AD,0.323514,0.03428,0.63898,0.104661,0.00252,0.40829,0.0266664
921,5,174662886,176180301,Wet_AMD,AD,0.335845,0.0329,0.73016,0.112792,0.00258,0.53313,0.0266817
497,3,86660980,87411258,Wet_AMD,AD,0.781753,0.11861,1,0.611138,0.01832,1,0.0268003
1953,13,114302562,115109851,Wet_AMD,AD,-0.505147,-1,-0.06447,0.255174,0.00729,1,0.027018
1537,10,55104429,55867694,Wet_AMD,AD,0.75974,0.11189,1,0.577204,0.01745,1,0.0270826
1058,6,130550138,131457164,Wet_AMD,AD,0.496325,0.05627,1,0.246338,0.00632,1,0.0276478
1609,10,134856055,135524372,Wet_AMD,AD,0.792585,0.09219,1,0.62819,0.01318,1,0.0277063
150,1,195161236,196179110,Wet_AMD,AD,0.289382,0.03726,0.64459,0.083742,0.00214,0.41549,0.0277624
760,4,178314528,179233905,Wet_AMD,AD,-0.865082,-1,-0.10199,0.748366,0.01998,1,0.0279668
817,5,50164836,51203265,Wet_AMD,AD,-0.602572,-1,-0.07886,0.363092,0.01051,1,0.0284403
2162,16,81437862,82310204,Wet_AMD,AD,-0.194774,-0.37651,-0.02184,0.037937,0.00093,0.14176,0.0291418
613,4,13127577,14395886,Wet_AMD,AD,-0.267468,-0.52071,-0.02921,0.071539,0.00153,0.27113,0.029559
550,3,147358244,148638308,Wet_AMD,AD,0.316744,0.03972,0.64258,0.100327,0.00251,0.41291,0.0298237
1938,13,99402295,100470868,Wet_AMD,AD,0.473267,0.05665,1,0.223982,0.00614,1,0.0298664
2459,21,44815009,46045433,Wet_AMD,AD,0.446007,0.03618,1,0.198922,0.00433,1,0.0304804
1203,7,121946053,123859746,Wet_AMD,AD,0.876046,0.0826,1,0.767456,0.01074,1,0.0308241
717,4,128321877,129625376,Wet_AMD,AD,0.984406,0.1169,1,0.969056,0.02064,1,0.0309497
1629,11,17583949,18740267,Wet_AMD,AD,0.613978,0.06324,1,0.37697,0.00904,1,0.0311374
1245,8,6663428,8064600,Wet_AMD,AD,-0.363254,-0.75735,-0.04754,0.131953,0.0033,0.57358,0.0314387
2309,19,2253175,3085446,Wet_AMD,AD,-0.520558,-1,-0.05672,0.270981,0.00618,1,0.0315851
1628,11,16383387,17583948,Wet_AMD,AD,0.305669,0.02226,0.60608,0.0934336,0.00205,0.36733,0.0319741
345,2,159040980,160200379,Wet_AMD,AD,-0.354775,-0.715,-0.03942,0.125865,0.00278,0.51123,0.0322605
827,5,59868568,60930753,Wet_AMD,AD,0.588348,0.0661,1,0.346153,0.00896,1,0.0323519
328,2,137061004,138073791,Wet_AMD,AD,-0.528288,-1,-0.06219,0.279088,0.00685,1,0.0329387
1099,7,4139432,4938442,Wet_AMD,AD,0.613909,0.0515,1,0.376884,0.00645,1,0.0330741
633,4,33640823,34721845,Wet_AMD,AD,-0.860018,-1,-0.10165,0.73963,0.02436,1,0.0332603
1304,8,68683824,70004665,Wet_AMD,AD,0.466449,0.02818,1,0.217575,0.0049,1,0.033387
299,2,102494488,103305257,Wet_AMD,AD,1,0.11281,1,1,0.02274,1,0.033611
1792,12,54371449,55416802,Wet_AMD,AD,0.300908,0.01826,0.60162,0.0905457,0.00145,0.36194,0.0350558
1054,6,125365055,127545459,Wet_AMD,AD,-0.550961,-1,-0.03523,0.303558,0.00632,1,0.035844
2010,14,81001921,82524785,Wet_AMD,AD,-0.353049,-0.74061,-0.0252,0.124643,0.00231,0.54851,0.0358889
377,2,196446300,198140350,Wet_AMD,AD,0.34256,0.0131,0.72916,0.117347,0.0015,0.53167,0.0366511
1078,6,154462011,155523957,Wet_AMD,AD,0.493909,0.03314,1,0.243946,0.00527,1,0.0376577
2018,14,90662837,92101228,Wet_AMD,AD,0.583522,0.03527,1,0.340498,0.00534,1,0.0384276
551,3,148638309,149998411,Wet_AMD,AD,-0.335341,-0.70215,-0.01473,0.112454,0.00144,0.49301,0.0394077
1216,7,140217631,142098979,Wet_AMD,AD,-0.265551,-0.54877,-0.02103,0.0705176,0.00128,0.30114,0.039481
1251,8,11466762,12296849,Wet_AMD,AD,0.631123,0.03208,1,0.398317,0.00748,1,0.03985
2101,15,101550751,102520975,Wet_AMD,AD,-0.355457,-0.76086,-0.02291,0.12635,0.00256,0.57891,0.0401543
2406,20,42185672,43008890,Wet_AMD,AD,0.555107,0.02395,1,0.308144,0.00513,1,0.0404435
1670,11,59256233,60515105,Wet_AMD,AD,0.399176,0.01909,1,0.159342,0.0028,1,0.0407192
32,1,33066847,34371022,Wet_AMD,AD,-0.43814,-1,-0.02928,0.191967,0.00293,1,0.0408756
2328,19,19749167,20485499,Wet_AMD,AD,0.372081,0.01791,0.86678,0.138444,0.00255,0.75131,0.041253
318,2,125741529,126754027,Wet_AMD,AD,-0.997696,-1,-0.08511,0.995397,0.02119,1,0.0414238
500,3,89612940,94250144,Wet_AMD,AD,0.416463,0.02241,1,0.173442,0.00354,1,0.0417401
1063,6,137553213,138825721,Wet_AMD,AD,-0.614752,-1,-0.04511,0.37792,0.00697,1,0.0420934
687,4,97540788,98445515,Wet_AMD,AD,0.94435,0.02914,1,0.891797,0.01686,1,0.0423563
1834,12,104140832,105079100,Wet_AMD,AD,0.592986,0.03014,1,0.351632,0.0058,1,0.0425083
483,3,71223282,72334704,Wet_AMD,AD,0.468881,0.0215,1,0.21985,0.00344,1,0.0427163
1681,11,74399332,75445253,Wet_AMD,AD,0.533752,0.01314,1,0.284891,0.00384,1,0.0429205
1959,14,24906057,25585041,Wet_AMD,AD,-1,-1,0.01213,1,0,1,0.042979
932,6,6621938,7808323,Wet_AMD,AD,0.316492,0.0185,0.66677,0.100167,0.00149,0.44459,0.0438018
41,1,45167236,47257261,Wet_AMD,AD,0.406705,0.01256,1,0.165409,0.00293,1,0.0440588
201,2,10181,789195,Wet_AMD,AD,0.630987,0.03609,1,0.398145,0.00722,1,0.0450172
151,1,196179111,197935821,Wet_AMD,AD,-0.132494,-0.26053,-0.00429,0.0175546,0.00026,0.06787,0.0453496
240,2,36120744,36867389,Wet_AMD,AD,-0.473239,-1,-0.01008,0.223956,0.00264,1,0.0455146
764,4,181122434,182065646,Wet_AMD,AD,0.515381,0.01856,1,0.265617,0.00428,1,0.0458275
2158,16,78280637,78973580,Wet_AMD,AD,0.240442,0.00249,0.49086,0.0578122,0.00069,0.24094,0.0460186
200,1,248341595,249240538,Wet_AMD,AD,-0.57159,-1,-0.01885,0.326715,0.00517,1,0.0467936
2067,15,62106139,63218978,Wet_AMD,AD,-0.368133,-0.84919,-0.00755,0.135522,0.00132,0.72113,0.0468124
677,4,85437806,86931670,Wet_AMD,AD,-0.974684,-1,-0.02924,0.95001,0.00866,1,0.0469735
2339,19,33028100,33785835,Wet_AMD,AD,-0.365054,-0.84499,-0.01345,0.133265,0.00222,0.71401,0.0470158
966,6,32629240,32682213,Wet_AMD,AD,-0.354953,-0.68617,-0.01354,0.125992,0.00191,0.47083,0.0470287
738,4,155044410,156520288,Wet_AMD,AD,0.369236,0.01999,0.89552,0.136335,0.00262,0.80196,0.047216
837,5,74245355,75239302,Wet_AMD,AD,-0.842855,-1,-0.04899,0.710404,0.00964,1,0.0478282
938,6,15069422,16566882,Wet_AMD,AD,-0.371203,-0.87234,-0.00759,0.137792,0.00185,0.76183,0.0489635
1468,9,124119884,125137578,Wet_AMD,AD,0.366709,-0.00132,0.82863,0.134475,0,0.68663,0.0496518
927,6,1380680,2746531,Wet_AMD,AD,-0.322428,-0.78338,-0.00773,0.10396,0.00124,0.61368,0.0498191
926,6,63979,1380679,Wet_AMD,AD,-0.476291,-1,-0.00568,0.226853,0.00262,1,0.0506313
1336,8,107787164,108647463,Wet_AMD,AD,-0.868076,-1,-0.00652,0.753556,0.00695,1,0.0506323
2075,15,73375719,74458113,Wet_AMD,AD,-0.509319,-1,-0.0112,0.259405,0.00376,1,0.0506922
406,2,229764919,230541092,Wet_AMD,AD,-0.757609,-1,-0.03227,0.573971,0.00784,1,0.0518912
1426,9,80137025,81161597,Wet_AMD,AD,0.364782,-0.00415,0.83563,0.133066,0,0.69827,0.0519293
160,1,208162952,209711169,Wet_AMD,AD,-0.32969,-0.77764,0.00249,0.108696,0,0.60472,0.0522635
1032,6,101793543,102637706,Wet_AMD,AD,-0.407198,-0.91419,0.00564,0.16581,0,0.83575,0.0524702
835,5,71468652,73314061,Wet_AMD,AD,-0.526092,-1,0.00607,0.276773,0,1,0.0530405
495,3,84698481,85807679,Wet_AMD,AD,0.779824,0.00291,1,0.608126,0.00949,1,0.05322
1131,7,33159278,34114532,Wet_AMD,AD,0.706788,-0.01077,1,0.499549,0,1,0.0532982
1894,13,51554237,53336571,Wet_AMD,AD,0.517702,-0.00521,1,0.268015,0,1,0.0536558
2236,17,79333775,80459149,Wet_AMD,AD,-0.379443,-1,0.00174,0.143977,0,1,0.0544612
2330,19,21155863,21822653,Wet_AMD,AD,0.777725,0.01293,1,0.604856,0.00769,1,0.0545821
1167,7,75243900,76451928,Wet_AMD,AD,0.469723,-0.00542,1,0.22064,0,1,0.0555682
46,1,53114187,54771293,Wet_AMD,AD,0.331165,-0.00993,0.84317,0.10967,0,0.71094,0.0562919
619,4,20086839,21416380,Wet_AMD,AD,0.456578,-0.00588,1,0.208463,0,1,0.0563796
154,1,200134006,201067952,Wet_AMD,AD,-0.284061,-0.62,0.00446,0.0806908,0,0.3844,0.0564233
1638,11,25662919,26356980,Wet_AMD,AD,-1,-1,-0.01345,1,0.00972,1,0.0569206
505,3,98212869,99045104,Wet_AMD,AD,0.723513,-0.00081,1,0.523471,0,1,0.0571398
2475,22,30962256,31904549,Wet_AMD,AD,-0.38997,-0.90892,0.00509,0.152077,0,0.82613,0.0572046
1836,12,106153788,106964977,Wet_AMD,AD,-0.403736,-1,0.00719,0.163003,0,1,0.0577644
2064,15,58712955,59901116,Wet_AMD,AD,0.155129,-0.00594,0.31908,0.0240649,0,0.10181,0.0578394
526,3,120574478,121362442,Wet_AMD,AD,0.891993,0.01215,1,0.795651,0.01325,1,0.0588127
699,4,111733580,112830229,Wet_AMD,AD,0.330919,-0.0148,0.73345,0.109507,0,0.53795,0.0589805
2225,17,68176220,69245590,Wet_AMD,AD,0.28807,-0.01246,0.6171,0.0829846,0,0.38081,0.0591029
1403,9,26747215,27366479,Wet_AMD,AD,-0.696451,-1,0.02436,0.485044,0,1,0.0611962
371,2,187498048,188895310,Wet_AMD,AD,0.346084,-0.01765,0.75134,0.119774,0,0.56451,0.061235
223,2,18656326,20064517,Wet_AMD,AD,-0.431544,-1,0.01109,0.18623,0,1,0.0612941
982,6,47313444,48393981,Wet_AMD,AD,0.343823,-0.01676,0.77021,0.118214,0,0.59322,0.061515
947,6,23192338,23939306,Wet_AMD,AD,-0.369847,-0.88453,0.01937,0.136787,0,0.78238,0.0615647
1190,7,104109232,105312563,Wet_AMD,AD,-0.200481,-0.41682,0.01269,0.0401926,0,0.17374,0.0619876
1538,10,55867695,57044845,Wet_AMD,AD,0.414663,-0.01845,1,0.171945,0,1,0.0622518
970,6,33864263,34979270,Wet_AMD,AD,0.254995,-0.01113,0.53936,0.0650224,0,0.29091,0.0623124
436,3,14312008,15150876,Wet_AMD,AD,0.323754,-0.01953,0.71355,0.104817,0,0.50916,0.0638625
1875,13,31433219,32986686,Wet_AMD,AD,-0.443428,-1,0.02295,0.196628,0,1,0.0639159
11,1,8580988,9475966,Wet_AMD,AD,0.607617,-0.03913,1,0.369199,0,1,0.063921
374,2,191051955,193033982,Wet_AMD,AD,0.387836,-0.02588,1,0.150417,0,1,0.0643331
565,3,163250113,164037360,Wet_AMD,AD,0.731749,-0.02378,1,0.535456,0,1,0.0644649
382,2,203639687,205038119,Wet_AMD,AD,-0.462298,-1,0.01818,0.213719,0,1,0.0648951
1756,12,16136743,17374895,Wet_AMD,AD,0.466219,-0.0118,1,0.217361,0,1,0.0655153
1009,6,77274031,78168731,Wet_AMD,AD,0.52439,-0.0176,1,0.274985,0,1,0.0656944
2063,15,57641165,58712954,Wet_AMD,AD,0.225403,-0.02161,0.48102,0.0508064,0,0.23138,0.0661019
1896,13,54684857,55576912,Wet_AMD,AD,-1,-1,0.10279,1,0,1,0.0668914
950,6,25684630,26396200,Wet_AMD,AD,0.51117,-0.03953,1,0.261295,0,1,0.0669167
818,5,51203266,52139773,Wet_AMD,AD,0.50143,-0.04014,1,0.251432,0,1,0.0670141
