GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
HES2               1    6465292    6519724    172      16  337828       1.4447     0.074278
TNFRSF25           1    6510787    6562432    116      19  337828       1.3996     0.080812
PLEKHG5            1    6516152    6615121    295      27  337828      0.79884      0.21219
NOL9               1    6571407    6649658    226      11  337828      0.21992      0.41297
TAS1R1             1    6579987    6649817    196      10  337828      0.29296      0.38478
ZBTB48             1    6605051    6659340    142      16  337828      0.77236      0.21995
PHF13              1    6638756    6694093    103      16  337828       1.5657     0.058712
KLHL21             1    6640784    6697958    113      16  337828        1.628     0.051761
THAP3              1    6649925    6705646    115      16  337828       1.6239     0.052195
DNAJC11            1    6684228    6796966    251      21  337828       0.6849       0.2467
CAMTA1             1    6810384    7839766   2956     199  337828     -0.46522      0.67911
VAMP3              1    7796329    7851492    151      25  337828      -1.5334      0.93741
PER3               1    7809413    7915241    354      29  337828     -0.58795      0.72172
UTS2               1    7897672    7948551    223      28  337828      -1.6934      0.95481
TNFRSF9            1    7965931    8038225    152      21  337828        1.995     0.023024
PARK7              1    7986714    8055342    133      17  337828       1.6352     0.051006
ERRFI1             1    8061779    8121393     79       8  337828      0.66153      0.25414
SLC45A1            1    8343171    8414227    205      27  337828       0.8309      0.20301
RERE               1    8402464    8912699    773      28  337828      0.13922      0.44464
ENO1               1    8911059    8974151    140      19  337828       0.1379      0.44516
CA6                1    8970893    9045151    304      50  337828    -0.055731      0.52222
SLC2A7             1    9053359    9121404    216      36  337828       1.0714      0.14199
SLC2A5             1    9087005    9166763    283      24  337828     -0.03437      0.51371
GPR157             1    9153472    9224229    173      24  337828     0.085027      0.46612
H6PD               1    9259822    9341396    327      35  337828       1.9112     0.027987
SPSB1              1    9300202    9439591    577      73  337828    -0.053135      0.52119
SLC25A33           1    9564528    9652831    137      18  337828      0.88664      0.18764
TMEM201            1    9613932    9684935     99      12  337828      0.74355      0.22857
PIK3CD             1    9676789    9799172    247      42  337828       1.3843     0.083135
CLSTN1             1    9779079    9919550    221      25  337828       1.6368      0.05084
CTNNBIP1           1    9898334   10005316    160      28  337828       2.0499     0.020186
NMNAT1             1    9968486   10055556    156      19  337828       0.5107      0.30478
LZIC               1    9972168   10038460    125      17  337828      0.30495       0.3802
RBP7               1   10022255   10086078    118      13  337828       0.5358      0.29605
UBE4B              1   10058041   10251297    406      20  337828       1.1869      0.11764
KIF1B              1   10235606   10451664    671      20  337828       1.3704     0.085283
PGD                1   10423884   10490565    189      20  337828       1.6423     0.050263
APITD1             1   10454944   10520239    170      20  337828       1.0442       0.1482
APITD1-CORT        1   10455159   10522060    172      20  337828       1.0387      0.14947
CORT               1   10474776   10522060    124      14  337828      0.21756      0.41388
PEX14              1   10500003   10700815    482      33  337828     -0.62052      0.73254
DFFA               1   10510588   10567613    136      14  337828       -1.392      0.91804
CASZ1              1   10686661   10891733    582     102  337828       1.6993     0.044627
C1orf127           1   10996530   11077094    268      30  337828      -1.2861      0.90079
TARDBP             1   11037462   11095549    149      18  337828      -2.0312      0.97889
MASP2              1   11076580   11142296    175      11  337828      0.31898      0.37487
SRM                1   11104649   11155091    139       8  337828      0.62478      0.26606
EXOSC10            1   11116675   11194961    204       8  337828      0.76284      0.22278
MTOR               1   11156588   11357614    419      14  337828      0.80325      0.21092
ANGPTL7            1   11214346   11266038    107       6  337828      0.91253      0.18075
UBIAD1             1   11298255   11358491    117      12  337828      0.74476      0.22821
PTCHD2             1   11504295   11607640    279      17  337828       1.0387      0.14946
FBXO44             1   11679432   11733384    164      32  337828       1.4514     0.073336
FBXO6              1   11689150   11744411    180      36  337828       2.0992       0.0179
FBXO2              1   11697924   11749888    160      33  337828       1.9755     0.024104
DRAXIN             1   11716781   11790336    232      44  337828       1.5386     0.061957
MAD2L2             1   11724537   11786678    204      39  337828       1.5927     0.055617
AGTRAP             1   11761142   11820828    185      37  337828     -0.11928      0.54747
C1orf167           1   11788827   11859642    282      28  337828        2.107     0.017557
CLCN6              1   11831153   11913201    417      18  337828       2.7935    0.0026073
MTHFR              1   11835787   11901160    338      14  337828       2.6206    0.0043887
NPPA               1   11895766   11942840    202      27  337828        3.118   0.00091028
NPPB               1   11907521   11953992    190      22  337828       2.5147    0.0059565
PLOD1              1   11959724   12045599    282      21  337828       1.6542     0.049044
KIAA2013           1   11969645   12021485    179      21  337828       1.5431       0.0614
MFN2               1   12005238   12083572    208      21  337828       1.8467     0.032398
MIIP               1   12044299   12102106    132      17  337828       1.8952      0.02903
TNFRSF8            1   12088434   12214264    310      48  337828      0.28666      0.38719
TNFRSF1B           1   12192044   12279279    246      36  337828      0.51772      0.30233
VPS13D             1   12255101   12582099    572      31  337828      -0.1724      0.56844
DHRS3              1   12617939   12712820    351      48  337828      0.60066      0.27403
AADACL4            1   12669566   12737097    205      27  337828      0.62674      0.26542
AADACL3            1   12741118   12798726    145      23  337828      0.39443      0.34663
C1orf158           1   12771163   12831102    173      18  337828        1.042       0.1487
PRAMEF12           1   12799984   12848049    126      18  337828        0.894      0.18566
PRAMEF1            1   12816546   12866777    177      25  337828      0.10025      0.46007
PRAMEF11           1   12874468   12926264    222      26  337828      0.44487      0.32821
PRAMEF2            1   12881941   12931764    210      24  337828      0.53233      0.29725
HNRNPCL1           1   12897261   12943578    193      19  337828       0.4452      0.32809
PRAMEF4            1   12929033   12981025     53      14  337828     -0.40301      0.65653
PRAMEF7            1   12941467   12990300     33      10  337828     -0.62896      0.73531
PRAMEF10           1   12942727   12993094     28       9  337828     -0.53217      0.70269
PRAMEF6            1   12988302   13042406      1       1  337828      0.56393       0.2864
PRAMEF22           1   13000543   13048381      1       1  337828      0.56393       0.2864
HNRNPCL2           1   13172960   13219326     70      10  337828       0.4677         0.32
PRAMEF5            1   13324819   13379057      2       1  337828      -2.1206      0.98302
LOC400736          1   13437414   13487656      3       1  337828       1.4734     0.070325
PRAMEF14           1   13658269   13708511      7       4  337828       0.9561      0.16951
PRAMEF17           1   13681088   13729064     15       7  337828       1.0819      0.13964
PRAMEF19           1   13684889   13733405     15       7  337828       1.0819      0.13964
PRAMEF20           1   13701907   13757803     22       9  337828       1.6465     0.049834
LRRC38             1   13791445   13875242    397      56  337828       1.9372     0.026363
PDPN               1   13875252   13954452    302      48  337828       1.5816     0.056871
PRDM2              1   13991714   14161574    585      30  337828      0.25205       0.4005
KAZN               1   14184646   15454544   4829     347  337828      -2.1462      0.98407
TMEM51             1   15444028   15556974    578      33  337828       -1.624      0.94781
C1orf195           1   15480692   15533120    264      20  337828      -2.2855      0.98886
FHAD1              1   15538730   15734767    753      79  337828     -0.73976      0.77028
EFHD2              1   15701391   15766839    216      33  337828      0.16292      0.43529
CTRC               1   15729938   15783153    156      35  337828       -2.104      0.98231
CELA2A             1   15748223   15808586    172      29  337828      -1.5061      0.93397
CELA2B             1   15767596   15827895    192      27  337828      -1.0573       0.8548
CASP9              1   15807896   15886407    246      13  337828     -0.87735      0.80985
DNAJC16            1   15818343   15908228    268      11  337828      -1.0826       0.8605
AGMAT              1   15888194   15946605    235      12  337828     -0.56693      0.71462
DDI2               1   15908953   16005539    304       9  337828     -0.46342      0.67847
RSC1A1             1   15951364   15998217     96       6  337828     -0.22797      0.59016
PLEKHM2            1   15975632   16071264    239      16  337828     -0.49479      0.68963
SLC25A34           1   16027721   16077884    144      16  337828     -0.85313      0.80321
TMEM82             1   16033987   16084292    143      17  337828     -0.79584      0.78694
FBLIM1             1   16048107   16123089    174      27  337828      -1.3918      0.91801
UQCRHL             1   16123657   16169194    191      14  337828     -0.88292      0.81136
SPEN               1   16139359   16276951    288      20  337828     -0.94973      0.82887
ZBTB17             1   16258364   16337627    241      25  337828     -0.58234      0.71983
TBC1D3P6           1   16267626   16333701    214      23  337828     -0.51882      0.69806
C1orf64            1   16295731   16343184    215      22  337828     -0.57511      0.71739
CLCNKA             1   16313486   16370548    340      22  337828     -0.58848      0.72189
HSPB7              1   16330523   16381084    314      24  337828     -0.90317      0.81678
CLCNKB             1   16335231   16393821    365      28  337828     -0.87759      0.80992
FAM131C            1   16374264   16435127    299      21  337828      0.58601      0.27894
EPHA2              1   16440832   16517582    174      22  337828       0.1443      0.44263
ARHGEF19           1   16514599   16574104    173      14  337828     -0.13368      0.55317
ANO7P1             1   16541343   16588528     99      11  337828       0.4888      0.31249
RSG1               1   16548182   16598659    103      10  337828      0.57617      0.28225
FBXO42             1   16563339   16713965    317      13  337828      0.44378       0.3286
SZRD1              1   16658525   16734643    173      15  337828      0.16709      0.43365
SPATA21            1   16712101   16798919    234      31  337828       1.3153     0.094204
NECAP2             1   16732167   16796585    176      25  337828        1.515     0.064886
FAM231B            1   16830561   16876198    102      16  337828       2.4177    0.0078099
NBPF1              1   16878922   16975100     11       6  337828     0.044042      0.48244
FAM231A            1   16964498   17010007     25       8  337828       1.0189      0.15414
FAM231C            1   17050447   17095956      2       1  337828      -0.2818      0.61095
MST1L              1   17071129   17125975      6       4  337828     -0.83837      0.79909
CROCC              1   17213445   17309474    148      30  337828    -0.095134       0.5379
MFAP2              1   17290997   17343081    121      18  337828     -0.33333      0.63056
ATP13A2            1   17302453   17373467    180      19  337828     -0.85651      0.80414
SDHB               1   17335217   17415665    343      16  337828      -1.5771      0.94262
PADI2              1   17383256   17480948    425      31  337828       -2.155      0.98442
PADI1              1   17496621   17582501    393      50  337828       1.4084       0.0795
PADI3              1   17540593   17620728    361      41  337828      0.27282       0.3925
PADI4              1   17599690   17700495    527      33  337828     0.058267      0.47677
PADI6              1   17663741   17738195    367      34  337828     -0.85176      0.80282
RCC2               1   17723251   17801250    238      21  337828       0.5326      0.29716
ARHGEF10L          1   17811693   18034370    538      55  337828       1.5833     0.056672
ACTL8              1   18046808   18163558    304      30  337828       0.2516      0.40067
IGSF21             1   18399240   18714977   1138     136  337828      0.21739      0.41395
KLHDC7A            1   18772424   18822540    197      27  337828       0.1389      0.44477
PAX7               1   18922500   19085360    508      73  337828      0.32191      0.37376
TAS1R2             1   19156093   19221155    354      42  337828     -0.75108       0.7737
ALDH4A1            1   19187924   19264293    323      39  337828       1.7851     0.037125
IFFO2              1   19220774   19317826    338      31  337828       2.5963    0.0047116
UBR4               1   19391000   19571812    438      26  337828     -0.84784      0.80174
EMC1               1   19532158   19613053    353      22  337828       -1.296      0.90251
MRTO4              1   19543075   19596622    218      25  337828      -1.5936      0.94449
AKR7A3             1   19599057   19650280    203      23  337828     -0.65459      0.74364
PQLC2              1   19603740   19668925    237      32  337828     -0.88373      0.81158
AKR7A2             1   19619202   19673640    192      26  337828     -0.58263      0.71993
CAPZB              1   19655267   19847066    664      35  337828    -0.097796      0.53895
MINOS1             1   19888471   19966315    214      20  337828       0.0557      0.47779
MINOS1-NBL1        1   19888471   19994949    299      27  337828      0.12273      0.45116
NBL1               1   19934723   19994949    155      28  337828      0.27111      0.39315
HTR6               1   19956780   20016055    172      24  337828      0.52546      0.29963
TMCO4              1   19998706   20161424    553      73  337828       1.7976     0.036119
RNF186             1   20130522   20176771    202      42  337828       1.3005     0.096723
OTUD3              1   20173356   20249438    246      30  337828     -0.13613      0.55414
PLA2G2E            1   20236800   20285110    156      23  337828      -1.8715      0.96936
PLA2G2A            1   20291924   20341932    169      28  337828    -0.075771       0.5302
PLA2G5             1   20351157   20428394    252      23  337828       1.1791      0.11917
PLA2G2D            1   20429143   20481059    145      42  337828     -0.47835       0.6838
PLA2G2F            1   20430823   20486879    147      43  337828     -0.76356      0.77743
UBXN10             1   20477578   20532540    132      23  337828      0.46214      0.32199
PLA2G2C            1   20480484   20536687    129      23  337828       0.4642      0.32125
VWA5B1             1   20582412   20691662    416      38  337828     -0.20628      0.58171
CAMK2N1            1   20798884   20847728     97      17  337828      -1.5093      0.93438
MUL1               1   20815941   20869674    140      16  337828      -1.2799      0.89972
FAM43B             1   20843932   20891513    161      20  337828     -0.60734      0.72819
CDA                1   20880444   20955401    386      29  337828     0.086987      0.46534
PINK1              1   20924948   20988004    258      16  337828      0.55003      0.29115
DDOST              1   20968260   21023037    186      33  337828      0.88988      0.18677
KIF17              1   20980475   21079317    322      46  337828      0.99582      0.15967
SH2D5              1   21036225   21094133    165      22  337828       0.9075      0.18207
HP1BP3             1   21059170   21148808    168      18  337828       1.2087      0.11339
EIF4G3             1   21122785   21538381    766      24  337828       1.6256     0.052021
ECE1               1   21533740   21707034    523      46  337828     -0.35603      0.63909
NBPF3              1   21731583   21821393    337      26  337828     -0.18524      0.57348
ALPL               1   21800475   21914905    452      47  337828     -0.75119      0.77373
RAP1GAP            1   21912708   22031010    429      61  337828      0.14997      0.44039
USP48              1   21994791   22144688    482      39  337828       2.2006     0.013881
LDLRAD2            1   22103758   22161714    197      39  337828       1.7426     0.040705
HSPG2              1   22138737   22298750    524      35  337828      0.32581      0.37229
CELA3B             1   22268418   22325847    377      22  337828       0.7903      0.21468
CELA3A             1   22293149   22349035    388      25  337828      0.57729      0.28187
CDC42              1   22344120   22429439    302      20  337828      0.25723       0.3985
WNT4               1   22433798   22505474    261      35  337828     -0.52584       0.7005
ZBTB40             1   22743344   22867650    204      22  337828       1.6617     0.048287
EPHA8              1   22855004   22940087    253      38  337828       1.2404      0.10742
C1QA               1   22928118   22976175    160      19  337828       1.1783      0.11933
C1QC               1   22934969   22984603    165      18  337828       1.0471      0.14753
C1QB               1   22944682   22998130    157      16  337828       1.0081      0.15671
EPHB2              1   23002263   23251823    529      62  337828       1.1152      0.13238
LACTBL1            1   23269536   23334524    156      17  337828      0.22237      0.41201
KDM1A              1   23310937   23420184    157      13  337828      0.32067      0.37423
C1orf234           1   23327327   23377343     68       9  337828      0.36981      0.35576
LUZP1              1   23400516   23539301    304      18  337828       1.0616       0.1442
HTR1D              1   23508388   23556222    164      12  337828      0.97205      0.16551
HNRNPR             1   23625953   23706143    104      12  337828       1.2455      0.10647
ZNF436             1   23675941   23731357    140      18  337828      0.75893      0.22395
TCEA3              1   23697555   23786269    209      27  337828       1.1865      0.11771
ASAP3              1   23745056   23845750    248      23  337828      0.95473      0.16986
E2F2               1   23822920   23892712    153      27  337828     0.041105      0.48361
ID3                1   23874421   23921285    102      18  337828       1.0313      0.15121
RPL11              1   23983269   24032915    112      16  337828      0.68271       0.2474
TCEB3              1   24034856   24098549     77      11  337828      0.80254      0.21112
PITHD1             1   24069876   24124722     38      13  337828     -0.12863      0.55117
LYPLA2             1   24082275   24132029     36      13  337828     -0.34055      0.63328
GALE               1   24112089   24162294     53       6  337828      0.39231      0.34741
HMGCL              1   24118367   24200110    149       9  337828      0.53798      0.29529
FUCA1              1   24161567   24229859    288      13  337828      0.55859      0.28822
CNR2               1   24187005   24320549    275      14  337828      0.51814      0.30218
PNRC2              1   24251301   24299952     15       6  337828     -0.14887      0.55917
SRSF10             1   24282935   24341953     17       6  337828    -0.059907      0.52389
MYOM3              1   24372531   24473665    351      37  337828     -0.37011      0.64435
IL22RA1            1   24436261   24504783    226      30  337828       -0.209      0.58278
IFNLR1             1   24470647   24548765    283      41  337828     0.016837      0.49328
GRHL3              1   24610812   24700972    269      32  337828      0.59424      0.27617
STPG1              1   24673489   24776587    291      17  337828     -0.17313      0.56873
NIPAL3             1   24707245   24809473    265      16  337828     -0.67511       0.7502
RCAN3              1   24793841   24873510    192      22  337828      -1.3665      0.91411
NCMAP              1   24847567   24945819    397      40  337828      -2.3938      0.99166
SRRM1              1   24934594   25009772    102      15  337828     -0.34942      0.63661
CLIC4              1   25036760   25180815    195      17  337828      0.43982      0.33003
RUNX3              1   25216002   25326648    308      40  337828     -0.83417      0.79791
SYF2               1   25538767   25594013     40      17  337828      0.70046      0.24182
RSRP1              1   25558740   25609010     30      13  337828      0.82058      0.20594
RHD                1   25563884   25666936     30      14  337828      0.72368      0.23463
TMEM50A            1   25629789   25698852     32       8  337828      0.63649      0.26223
RHCE               1   25677853   25782363    135       7  337828       0.6158      0.26901
TMEM57             1   25722388   25836700    166       6  337828      0.56637      0.28557
LDLRAP1            1   25835071   25905377    148      23  337828      0.22633      0.41047
MAN1C1             1   25908959   26121258    312      26  337828       0.6436      0.25992
SEPN1              1   26091667   26154713    138      16  337828     -0.97123      0.83428
MTFR1L             1   26111397   26169433    138       9  337828      -1.2158      0.88798
AUNIP              1   26148414   26220939    138       9  337828      -1.3539      0.91211
PAQR7              1   26177975   26237461     85      10  337828      -1.1447      0.87383
STMN1              1   26200670   26268368     95      10  337828     -0.52981      0.70188
PAFAH2             1   26276258   26361366    175      13  337828     -0.29553      0.61621
EXTL1              1   26313266   26372955    104      13  337828      -0.2123      0.58406
SLC30A2            1   26354513   26408439    119      10  337828      -0.9601       0.8315
TRIM63             1   26367792   26429142    127       9  337828      -1.4158      0.92159
PDIK1L             1   26402656   26462039    121       4  337828      -1.2121      0.88725
FAM110D            1   26450511   26499119    104      12  337828    -0.041157      0.51641
ZNF593             1   26461388   26507364    105      13  337828    -0.033543      0.51338
CNKSR1             1   26468981   26526375    154      18  337828     0.054155      0.47841
CATSPER4           1   26482119   26539033    166      21  337828   -0.0084038      0.50335
CEP85              1   26525644   26615529    303      16  337828     -0.80048      0.78828
SH3BGRL3           1   26571213   26618013    138      12  337828     -0.51564      0.69695
UBXN11             1   26598773   26679756    247      21  337828      -0.8475      0.80164
CD52               1   26609411   26657014    154      13  337828     -0.54983      0.70878
AIM1L              1   26638350   26715621    266      24  337828      -1.2492      0.89421
ZNF683             1   26678125   26736023    211      30  337828      -1.6505      0.95058
LIN28A             1   26702269   26766219    164      25  337828      -1.4735       0.9297
DHDDS              1   26723773   26807797    158      23  337828     -0.35018       0.6369
HMGN2              1   26763902   26813133     89      16  337828      0.13382      0.44677
RPS6KA1            1   26821249   26911520    201      23  337828     -0.36908      0.64397
ARID1A             1   26987522   27118601    178      13  337828      0.92032       0.1787
LOC101928728       1   27008623   27057896     77       7  337828      0.91589      0.17986
PIGV               1   27078739   27134894     63       9  337828      0.65965      0.25474
ZDHHC18            1   27118201   27194092     99      13  337828      0.32581      0.37228
SFN                1   27154633   27200947     67       8  337828      0.24022      0.40508
GPN2               1   27195872   27251869     88      12  337828      -0.2363       0.5934
GPATCH3            1   27206979   27261962     82      11  337828     -0.13336      0.55305
NUDC               1   27213187   27283362     93      12  337828    -0.042843      0.51709
NR0B2              1   27227975   27275567     71      10  337828    -0.039339      0.51569
KDF1               1   27266047   27321901     64       8  337828    -0.033173      0.51323
TRNP1              1   27285189   27337377     53       7  337828     -0.51619      0.69714
FAM46B             1   27321511   27374333     86       8  337828     -0.73745      0.76958
SLC9A1             1   27415300   27516621    178       8  337828     0.087424      0.46517
WDTC1              1   27526007   27645124    193      19  337828      0.47741      0.31653
TMEM222            1   27613636   27672891    101      16  337828      0.67416      0.25011
SYTL1              1   27633483   27690423    128      21  337828      0.78291      0.21684
MAP3K6             1   27671670   27728558     95      22  337828        0.849      0.19794
GPR3               1   27684148   27732318     69      16  337828       1.0095      0.15636
FCN3               1   27685601   27736315     67      15  337828      0.99816       0.1591
CD164L2            1   27695596   27744823     57      10  337828      0.23376      0.40759
WASF2              1   27720734   27851678    203      14  337828      0.19583      0.42237
AHDC1              1   27850756   27965463    144      22  337828      -1.1967      0.88429
FGR                1   27928800   27996727    122      19  337828      -1.2096      0.88679
IFI6               1   27982572   28033724    104       6  337828      0.91842       0.1792
FAM76A             1   28017490   28099426    152       8  337828       1.1284      0.12958
STX12              1   28064694   28160963    114       8  337828       1.0617      0.14419
PPP1R8             1   28122252   28188183     71       7  337828       1.0546       0.1458
THEMIS2            1   28164055   28223196    131      19  337828      0.40132      0.34409
RPA2               1   28208035   28276255    219      14  337828     -0.28363      0.61165
SMPDL3B            1   28226456   28295663    218      16  337828     -0.19765      0.57834
XKR8               1   28251504   28304604    155      16  337828    -0.059258      0.52363
EYA3               1   28286855   28450173    294      26  337828     -0.84526      0.80102
PTAFR              1   28463677   28555447    147      17  337828     -0.60735      0.72819
DNAJC8             1   28516789   28594542    217      15  337828      -1.1337      0.87153
ATPIF1             1   28527602   28574616    137      10  337828     -0.87876      0.81023
SESN2              1   28550963   28619002    181      15  337828     -0.94077      0.82659
MED18              1   28620513   28672478     95      17  337828     -0.56259      0.71314
PHACTR4            1   28661093   28836881    514      10  337828     -0.23192       0.5917
RCC1               1   28797455   28875708    198      11  337828     -0.66284      0.74628
TRNAU1AP           1   28844529   28915057    124      14  337828     -0.44584      0.67215
RAB42              1   28883712   28931098     72      14  337828    -0.055924       0.5223
TAF12              1   28919608   29010416    126      20  337828    -0.031517      0.51257
GMEB1              1   28960234   29052115    131      15  337828     -0.24069       0.5951
YTHDF2             1   29028133   29106287    115      12  337828      -0.3049      0.61978
OPRD1              1   29103654   29200208    266      24  337828      0.68019      0.24819
EPB41              1   29178603   29456558    555      27  337828     -0.55377      0.71013
TMEM200B           1   29435937   29485421    119      17  337828      0.30697      0.37943
SRSF4              1   29464250   29543637    175      20  337828       1.0219      0.15343
MECR               1   29509385   29592460    210      24  337828      0.95833      0.16895
PTPRU              1   29528028   29663325    352      36  337828      0.57451      0.28281
MATN1              1   31174124   31231432    208      27  337828     -0.75332      0.77437
LAPTM5             1   31195315   31265683    207      36  337828      0.29824      0.38276
SDC3               1   31332313   31416480    206      49  337828      0.37535       0.3537
PUM1               1   31394353   31573838    367      19  337828     -0.35768      0.63971
NKAIN1             1   31642592   31747734    330      17  337828     -0.24312      0.59604
SNRNP40            1   31722415   31804644    219      11  337828     -0.46296       0.6783
ZCCHC17            1   31734832   31848569    278      11  337828     -0.37231      0.64517
FABP3              1   31828100   31880923    163      12  337828      0.11591      0.45386
SERINC2            1   31847412   31917527    240      17  337828     -0.16926       0.5672
TINAGL1            1   32007086   32063290    156      25  337828      0.20901      0.41722
HCRTR1             1   32048290   32103214     90       9  337828      0.22697      0.41022
PEF1               1   32085463   32145838    118      11  337828      0.43594      0.33144
COL16A1            1   32107848   32204768    161      26  337828      0.55914      0.28803
ADGRB2             1   32182718   32265494     79      17  337828      0.40678      0.34209
