GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
GPR157             1    9153472    9224229    173      24  342729      0.65529      0.25614
H6PD               1    9259822    9341396    327      35  342729       1.8068     0.035394
SPSB1              1    9300202    9439591    577      73  342729     -0.60754      0.72825
SLC25A33           1    9564528    9652831    137      18  342729      0.12504      0.45024
TMEM201            1    9613932    9684935     99      12  342729      0.32646      0.37204
PIK3CD             1    9676789    9799172    247      42  342729       0.5313      0.29761
CLSTN1             1    9779079    9919550    221      25  342729       1.2704      0.10196
CTNNBIP1           1    9898334   10005316    160      28  342729       1.6512      0.04935
NMNAT1             1    9968486   10055556    156      19  342729     0.064329      0.47435
LZIC               1    9972168   10038460    125      17  342729     -0.19003      0.57536
RBP7               1   10022255   10086078    118      13  342729      0.25332      0.40001
UBE4B              1   10058041   10251297    406      20  342729        0.969      0.16627
KIF1B              1   10235606   10451664    671      20  342729         0.44      0.32997
PGD                1   10423884   10490565    189      20  342729      0.52617      0.29938
APITD1             1   10454944   10520239    170      20  342729      0.11249      0.45522
APITD1-CORT        1   10455159   10522060    172      20  342729     0.090255      0.46404
CORT               1   10474776   10522060    124      14  342729     -0.40079      0.65571
PEX14              1   10500003   10700815    482      33  342729     -0.92546      0.82264
DFFA               1   10510588   10567613    136      14  342729      -1.5218      0.93597
CASZ1              1   10686661   10891733    582     102  342729       2.2752     0.011448
C1orf127           1   10996530   11077094    268      30  342729       -3.659      0.99987
TARDBP             1   11037462   11095549    149      18  342729      -1.8054      0.96449
MASP2              1   11076580   11142296    175      11  342729      0.83828      0.20094
SRM                1   11104649   11155091    139       8  342729       1.1919      0.11665
EXOSC10            1   11116675   11194961    204       8  342729        1.288     0.098878
MTOR               1   11156588   11357614    419      14  342729       1.0309       0.1513
ANGPTL7            1   11214346   11266038    107       6  342729        1.271      0.10187
UBIAD1             1   11298255   11358491    117      12  342729      0.43086      0.33329
PTCHD2             1   11504295   11607640    279      17  342729       1.7212     0.042609
FBXO44             1   11679432   11733384    164      32  342729       1.0591      0.14479
FBXO6              1   11689150   11744411    180      36  342729       1.7484     0.040199
FBXO2              1   11697924   11749888    160      33  342729       1.8432     0.032652
DRAXIN             1   11716781   11790336    232      44  342729       1.6774     0.046729
MAD2L2             1   11724537   11786678    204      39  342729       1.5929      0.05559
AGTRAP             1   11761142   11820828    185      37  342729      0.55255      0.29028
C1orf167           1   11788827   11859642    282      28  342729       3.2579   0.00056129
CLCN6              1   11831153   11913201    417      18  342729       3.8648   5.5596e-05
MTHFR              1   11835787   11901160    338      14  342729       3.7102   0.00010355
NPPA               1   11895766   11942840    202      27  342729       3.5593   0.00018594
NPPB               1   11907521   11953992    190      22  342729       2.9244    0.0017257
PLOD1              1   11959724   12045599    282      21  342729       2.2332     0.012769
KIAA2013           1   11969645   12021485    179      21  342729        1.953      0.02541
MFN2               1   12005238   12083572    208      21  342729       1.1779      0.11943
MIIP               1   12044299   12102106    132      17  342729      0.60351      0.27308
TNFRSF8            1   12088434   12214264    310      48  342729      0.40651      0.34218
TNFRSF1B           1   12192044   12279279    246      36  342729      0.72057      0.23559
VPS13D             1   12255101   12582099    572      31  342729       0.1585      0.43703
DHRS3              1   12617939   12712820    351      48  342729    -0.057667      0.52299
AADACL4            1   12669566   12737097    205      27  342729      0.41688      0.33838
AADACL3            1   12741118   12798726    145      23  342729       1.0779      0.14055
C1orf158           1   12771163   12831102    173      18  342729       1.6061     0.054128
PRAMEF12           1   12799984   12848049    126      18  342729       1.5443     0.061253
PRAMEF1            1   12816546   12866777    177      25  342729       1.1145      0.13254
PRAMEF11           1   12874468   12926264    222      26  342729     -0.80314      0.78905
PRAMEF2            1   12881941   12931764    210      24  342729     -0.71217      0.76182
HNRNPCL1           1   12897261   12943578    193      19  342729     -0.95631      0.83054
PRAMEF4            1   12929033   12981025     53      14  342729     -0.89439      0.81444
PRAMEF7            1   12941467   12990300     33      10  342729      -0.6846       0.7532
PRAMEF10           1   12942727   12993094     28       9  342729     -0.80931      0.79083
PRAMEF6            1   12988302   13042406      1       1  342729     -0.26849      0.60584
PRAMEF22           1   13000543   13048381      1       1  342729     -0.26849      0.60584
HNRNPCL2           1   13172960   13219326     70      10  342729        -0.14      0.55567
PRAMEF5            1   13324819   13379057      2       1  342729      -1.1114      0.86679
LOC400736          1   13437414   13487656      3       1  342729      -1.0729      0.85835
PRAMEF14           1   13658269   13708511      7       4  342729      -1.0637      0.85626
PRAMEF17           1   13681088   13729064     15       7  342729     0.017725      0.49293
PRAMEF19           1   13684889   13733405     15       7  342729     0.017725      0.49293
PRAMEF20           1   13701907   13757803     22       9  342729    -0.018584      0.50741
LRRC38             1   13791445   13875242    397      56  342729      0.56244      0.28691
PDPN               1   13875252   13954452    302      48  342729       2.1257     0.016766
PRDM2              1   13991714   14161574    585      30  342729      0.57692        0.282
KAZN               1   14184646   15454544   4829     347  342729      -1.0232      0.84688
TMEM51             1   15444028   15556974    578      33  342729      -1.5735      0.94219
C1orf195           1   15480692   15533120    264      20  342729      -2.2929      0.98907
FHAD1              1   15538730   15734767    753      79  342729       -1.395      0.91849
EFHD2              1   15701391   15766839    216      33  342729     -0.65288      0.74308
CTRC               1   15729938   15783153    156      35  342729      -1.2862      0.90082
CELA2A             1   15748223   15808586    172      29  342729      -1.2106      0.88698
CELA2B             1   15767596   15827895    192      27  342729     -0.95153      0.82933
CASP9              1   15807896   15886407    246      13  342729     -0.44076      0.67031
DNAJC16            1   15818343   15908228    268      11  342729     -0.12129      0.54827
AGMAT              1   15888194   15946605    235      12  342729      0.57625      0.28222
DDI2               1   15908953   16005539    304       9  342729      0.66221      0.25392
RSC1A1             1   15951364   15998217     96       6  342729      0.80159       0.2114
PLEKHM2            1   15975632   16071264    239      16  342729      0.61295      0.26996
SLC25A34           1   16027721   16077884    144      16  342729      0.20905       0.4172
TMEM82             1   16033987   16084292    143      17  342729      0.19875      0.42123
FBLIM1             1   16048107   16123089    174      27  342729    -0.082762      0.53298
UQCRHL             1   16123657   16169194    191      14  342729      0.37797      0.35273
SPEN               1   16139359   16276951    288      20  342729      0.21628      0.41438
ZBTB17             1   16258364   16337627    241      25  342729      0.46954      0.31934
TBC1D3P6           1   16267626   16333701    214      23  342729      0.50919      0.30531
C1orf64            1   16295731   16343184    215      22  342729      0.44751      0.32725
CLCNKA             1   16313486   16370548    340      22  342729      0.70936      0.23905
HSPB7              1   16330523   16381084    314      24  342729       0.4284      0.33418
CLCNKB             1   16335231   16393821    365      28  342729      0.18587      0.42627
FAM131C            1   16374264   16435127    299      21  342729     -0.80008      0.78817
EPHA2              1   16440832   16517582    174      22  342729     0.020838      0.49169
ARHGEF19           1   16514599   16574104    173      14  342729       1.7296     0.041851
ANO7P1             1   16541343   16588528     99      11  342729       2.0056      0.02245
RSG1               1   16548182   16598659    103      10  342729       1.9769     0.024027
FBXO42             1   16563339   16713965    317      13  342729       2.0477     0.020296
SZRD1              1   16658525   16734643    173      15  342729       2.0856     0.018506
SPATA21            1   16712101   16798919    234      31  342729       2.3649    0.0090168
NECAP2             1   16732167   16796585    176      25  342729       2.2243     0.013063
FAM231B            1   16830561   16876198    102      16  342729        3.328   0.00043736
NBPF1              1   16878922   16975100     11       6  342729      0.21836      0.41357
FAM231A            1   16964498   17010007     25       8  342729       1.3985     0.080978
FAM231C            1   17050447   17095956      2       1  342729      -1.6709      0.95263
MST1L              1   17071129   17125975      6       4  342729      0.13267      0.44723
CROCC              1   17213445   17309474    148      30  342729       1.2894     0.098623
MFAP2              1   17290997   17343081    121      18  342729      0.91311      0.18059
ATP13A2            1   17302453   17373467    180      19  342729      0.19876      0.42123
SDHB               1   17335217   17415665    343      16  342729      0.15334      0.43907
PADI2              1   17383256   17480948    425      31  342729      0.14542      0.44219
PADI1              1   17496621   17582501    393      50  342729        1.853     0.031939
PADI3              1   17540593   17620728    361      41  342729        1.141      0.12694
PADI4              1   17599690   17700495    527      33  342729      0.44731      0.32732
PADI6              1   17663741   17738195    367      34  342729      -0.2327        0.592
RCC2               1   17723251   17801250    238      21  342729      0.77359      0.21959
ARHGEF10L          1   17811693   18034370    538      55  342729       2.0734     0.019067
ACTL8              1   18046808   18163558    304      30  342729      0.57592      0.28233
IGSF21             1   18399240   18714977   1138     136  342729     -0.37049      0.64449
KLHDC7A            1   18772424   18822540    197      27  342729    -0.040261      0.51606
PAX7               1   18922500   19085360    508      73  342729     -0.73848      0.76989
TAS1R2             1   19156093   19221155    354      42  342729      -1.4372      0.92467
ALDH4A1            1   19187924   19264293    323      39  342729       1.1846      0.11809
IFFO2              1   19220774   19317826    338      31  342729       1.6965     0.044899
UBR4               1   19391000   19571812    438      26  342729     -0.86724      0.80709
EMC1               1   19532158   19613053    353      22  342729      -2.3038      0.98938
MRTO4              1   19543075   19596622    218      25  342729      -2.0319      0.97892
AKR7A3             1   19599057   19650280    203      23  342729      -1.2838       0.9004
PQLC2              1   19603740   19668925    237      32  342729      -0.9829      0.83717
AKR7A2             1   19619202   19673640    192      26  342729      -0.3955      0.65376
CAPZB              1   19655267   19847066    664      35  342729      0.69465      0.24364
MINOS1             1   19888471   19966315    214      20  342729      0.66129      0.25421
MINOS1-NBL1        1   19888471   19994949    299      27  342729      0.82229      0.20546
NBL1               1   19934723   19994949    155      28  342729       1.1946      0.11612
HTR6               1   19956780   20016055    172      24  342729          1.2      0.11506
TMCO4              1   19998706   20161424    553      73  342729       1.5006     0.066731
RNF186             1   20130522   20176771    202      42  342729       1.4515     0.073322
OTUD3              1   20173356   20249438    246      30  342729       1.0295      0.15162
PLA2G2E            1   20236800   20285110    156      23  342729      -1.1836      0.88171
PLA2G2A            1   20291924   20341932    169      28  342729       1.1161       0.1322
PLA2G5             1   20351157   20428394    252      23  342729       1.8029     0.035705
PLA2G2D            1   20429143   20481059    145      42  342729      0.90706      0.18219
PLA2G2F            1   20430823   20486879    147      43  342729       0.5885       0.2781
UBXN10             1   20477578   20532540    132      23  342729      0.46075      0.32249
PLA2G2C            1   20480484   20536687    129      23  342729       0.4377       0.3308
VWA5B1             1   20582412   20691662    416      38  342729      -0.2277      0.59006
CAMK2N1            1   20798884   20847728     97      17  342729      -1.3707      0.91476
MUL1               1   20815941   20869674    140      16  342729      -1.3028      0.90367
FAM43B             1   20843932   20891513    161      20  342729     -0.41121      0.65954
CDA                1   20880444   20955401    386      29  342729       1.1271      0.12985
PINK1              1   20924948   20988004    258      16  342729      0.77752      0.21843
DDOST              1   20968260   21023037    186      33  342729       1.4002     0.080728
KIF17              1   20980475   21079317    322      46  342729       1.9404     0.026166
SH2D5              1   21036225   21094133    165      22  342729       1.1514      0.12478
HP1BP3             1   21059170   21148808    168      18  342729       1.3556     0.087616
EIF4G3             1   21122785   21538381    766      24  342729        1.816     0.034683
ECE1               1   21533740   21707034    523      46  342729     -0.12476      0.54964
NBPF3              1   21731583   21821393    337      26  342729      0.58877      0.27801
ALPL               1   21800475   21914905    452      47  342729      0.59248      0.27676
RAP1GAP            1   21912708   22031010    429      61  342729     -0.16485      0.56547
USP48              1   21994791   22144688    482      39  342729       2.4035    0.0081203
LDLRAD2            1   22103758   22161714    197      39  342729       2.2365      0.01266
HSPG2              1   22138737   22298750    524      35  342729     -0.40062      0.65565
CELA3B             1   22268418   22325847    377      22  342729      0.98474      0.16238
CELA3A             1   22293149   22349035    388      25  342729      0.98345      0.16269
CDC42              1   22344120   22429439    302      20  342729      0.79419      0.21354
WNT4               1   22433798   22505474    261      35  342729     -0.21705      0.58591
ZBTB40             1   22743344   22867650    204      22  342729       1.9451     0.025883
EPHA8              1   22855004   22940087    253      38  342729       1.0407      0.14901
C1QA               1   22928118   22976175    160      19  342729       1.2708      0.10189
C1QC               1   22934969   22984603    165      18  342729       1.1712      0.12076
C1QB               1   22944682   22998130    157      16  342729       1.2483      0.10596
EPHB2              1   23002263   23251823    529      62  342729       1.0855      0.13886
LACTBL1            1   23269536   23334524    156      17  342729     -0.10938      0.54355
KDM1A              1   23310937   23420184    157      13  342729      0.17947      0.42878
C1orf234           1   23327327   23377343     68       9  342729     0.037262      0.48514
LUZP1              1   23400516   23539301    304      18  342729       0.1556      0.43817
HTR1D              1   23508388   23556222    164      12  342729     -0.23015      0.59101
HNRNPR             1   23625953   23706143    104      12  342729      0.64242       0.2603
ZNF436             1   23675941   23731357    140      18  342729        0.123      0.45105
TCEA3              1   23697555   23786269    209      27  342729      0.34758      0.36408
ASAP3              1   23745056   23845750    248      23  342729       0.4647      0.32107
E2F2               1   23822920   23892712    153      27  342729      0.24572      0.40295
ID3                1   23874421   23921285    102      18  342729      -1.2535      0.89499
RPL11              1   23983269   24032915    112      16  342729      0.50462      0.30691
TCEB3              1   24034856   24098549     77      11  342729      0.37956      0.35214
PITHD1             1   24069876   24124722     38      13  342729     -0.27123      0.60689
LYPLA2             1   24082275   24132029     36      13  342729      -0.5909      0.72271
GALE               1   24112089   24162294     53       6  342729      0.46449      0.32115
HMGCL              1   24118367   24200110    149       9  342729      0.36744      0.35665
FUCA1              1   24161567   24229859    288      13  342729     -0.04528      0.51806
CNR2               1   24187005   24320549    275      14  342729      -0.1984      0.57863
PNRC2              1   24251301   24299952     15       6  342729       0.2826      0.38874
SRSF10             1   24282935   24341953     17       6  342729     0.045602      0.48181
MYOM3              1   24372531   24473665    351      37  342729     -0.97201      0.83448
IL22RA1            1   24436261   24504783    226      30  342729     -0.56802      0.71499
IFNLR1             1   24470647   24548765    283      41  342729     -0.61907      0.73206
GRHL3              1   24610812   24700972    269      32  342729     -0.46093      0.67758
STPG1              1   24673489   24776587    291      17  342729     -0.57458      0.71721
NIPAL3             1   24707245   24809473    265      16  342729     -0.60298      0.72674
RCAN3              1   24793841   24873510    192      22  342729     -0.20096      0.57964
NCMAP              1   24847567   24945819    397      40  342729      -1.1741      0.87981
SRRM1              1   24934594   25009772    102      15  342729      0.19393      0.42311
CLIC4              1   25036760   25180815    195      17  342729    -0.021132      0.50843
RUNX3              1   25216002   25326648    308      40  342729      -1.2917      0.90177
SYF2               1   25538767   25594013     40      17  342729       1.1414      0.12685
RSRP1              1   25558740   25609010     30      13  342729       1.2284      0.10965
RHD                1   25563884   25666936     30      14  342729       1.0989      0.13591
TMEM50A            1   25629789   25698852     32       8  342729       1.9761     0.024072
RHCE               1   25677853   25782363    135       7  342729       1.2614      0.10358
TMEM57             1   25722388   25836700    166       6  342729       1.0254      0.15259
LDLRAP1            1   25835071   25905377    148      23  342729      0.53126      0.29762
MAN1C1             1   25908959   26121258    312      26  342729       1.7551     0.039619
SEPN1              1   26091667   26154713    138      16  342729     -0.87278      0.80861
MTFR1L             1   26111397   26169433    138       9  342729      -1.5368      0.93782
AUNIP              1   26148414   26220939    138       9  342729      -1.7698      0.96162
PAQR7              1   26177975   26237461     85      10  342729       -1.306      0.90423
STMN1              1   26200670   26268368     95      10  342729     -0.74354      0.77142
PAFAH2             1   26276258   26361366    175      13  342729     -0.11928      0.54747
EXTL1              1   26313266   26372955    104      13  342729      0.53918      0.29488
SLC30A2            1   26354513   26408439    119      10  342729      -0.2061      0.58164
TRIM63             1   26367792   26429142    127       9  342729     -0.55525      0.71064
PDIK1L             1   26402656   26462039    121       4  342729      -1.4744      0.92981
FAM110D            1   26450511   26499119    104      12  342729     -0.78063      0.78249
ZNF593             1   26461388   26507364    105      13  342729     -0.83824      0.79905
CNKSR1             1   26468981   26526375    154      18  342729     -0.85417      0.80349
CATSPER4           1   26482119   26539033    166      21  342729     -0.78222      0.78296
CEP85              1   26525644   26615529    303      16  342729      0.20642      0.41823
SH3BGRL3           1   26571213   26618013    138      12  342729      0.15691      0.43766
UBXN11             1   26598773   26679756    247      21  342729      0.12885      0.44874
CD52               1   26609411   26657014    154      13  342729      0.39167      0.34765
AIM1L              1   26638350   26715621    266      24  342729     -0.44745      0.67273
ZNF683             1   26678125   26736023    211      30  342729     -0.47981      0.68432
LIN28A             1   26702269   26766219    164      25  342729     -0.32611      0.62783
DHDDS              1   26723773   26807797    158      23  342729       0.2334      0.40773
HMGN2              1   26763902   26813133     89      16  342729      0.14693      0.44159
RPS6KA1            1   26821249   26911520    201      23  342729   -0.0043628      0.50174
ARID1A             1   26987522   27118601    178      13  342729       1.0192      0.15406
LOC101928728       1   27008623   27057896     77       7  342729      0.99146      0.16073
PIGV               1   27078739   27134894     63       9  342729       0.7118      0.23829
ZDHHC18            1   27118201   27194092     99      13  342729      0.35975      0.35952
SFN                1   27154633   27200947     67       8  342729     0.084306      0.46641
GPN2               1   27195872   27251869     88      12  342729     -0.24302        0.596
GPATCH3            1   27206979   27261962     82      11  342729    -0.035552      0.51418
NUDC               1   27213187   27283362     93      12  342729      0.11045      0.45602
NR0B2              1   27227975   27275567     71      10  342729      0.15059      0.44015
KDF1               1   27266047   27321901     64       8  342729      0.15575      0.43811
TRNP1              1   27285189   27337377     53       7  342729     -0.20194      0.58002
FAM46B             1   27321511   27374333     86       8  342729     -0.18217      0.57227
SLC9A1             1   27415300   27516621    178       8  342729     -0.86396       0.8062
WDTC1              1   27526007   27645124    193      19  342729       1.3407     0.090016
TMEM222            1   27613636   27672891    101      16  342729       1.6441     0.050078
SYTL1              1   27633483   27690423    128      21  342729       1.8286     0.033728
MAP3K6             1   27671670   27728558     95      22  342729       1.6738     0.047082
GPR3               1   27684148   27732318     69      16  342729       1.8365     0.033145
FCN3               1   27685601   27736315     67      15  342729       1.7421     0.040747
CD164L2            1   27695596   27744823     57      10  342729      0.64765      0.25861
WASF2              1   27720734   27851678    203      14  342729       0.6193      0.26786
AHDC1              1   27850756   27965463    144      22  342729     0.022813       0.4909
FGR                1   27928800   27996727    122      19  342729      0.08411      0.46648
IFI6               1   27982572   28033724    104       6  342729       1.8587     0.031535
FAM76A             1   28017490   28099426    152       8  342729       1.8843     0.029762
STX12              1   28064694   28160963    114       8  342729        1.603     0.054471
PPP1R8             1   28122252   28188183     71       7  342729       1.7354     0.041337
THEMIS2            1   28164055   28223196    131      19  342729      0.99502      0.15986
RPA2               1   28208035   28276255    219      14  342729     -0.13835      0.55502
SMPDL3B            1   28226456   28295663    218      16  342729    0.0032836      0.49869
XKR8               1   28251504   28304604    155      16  342729      0.10936      0.45646
EYA3               1   28286855   28450173    294      26  342729     -0.15699      0.56238
PTAFR              1   28463677   28555447    147      17  342729      0.22243      0.41199
DNAJC8             1   28516789   28594542    217      15  342729     -0.20852      0.58259
ATPIF1             1   28527602   28574616    137      10  342729     -0.30048      0.61809
SESN2              1   28550963   28619002    181      15  342729     -0.48851      0.68741
MED18              1   28620513   28672478     95      17  342729       1.0976       0.1362
PHACTR4            1   28661093   28836881    514      10  342729       1.5529     0.060222
RCC1               1   28797455   28875708    198      11  342729       0.4612      0.32233
TRNAU1AP           1   28844529   28915057    124      14  342729      0.88319      0.18857
RAB42              1   28883712   28931098     72      14  342729       1.0965      0.13644
TAF12              1   28919608   29010416    126      20  342729      0.99602      0.15962
GMEB1              1   28960234   29052115    131      15  342729      0.57864      0.28142
YTHDF2             1   29028133   29106287    115      12  342729      0.18388      0.42706
OPRD1              1   29103654   29200208    266      24  342729       1.6534     0.049126
EPB41              1   29178603   29456558    555      27  342729       -1.604      0.94565
TMEM200B           1   29435937   29485421    119      17  342729     -0.38606      0.65027
SRSF4              1   29464250   29543637    175      20  342729      0.64252      0.26027
MECR               1   29509385   29592460    210      24  342729      0.62924       0.2646
PTPRU              1   29528028   29663325    352      36  342729     0.010125      0.49596
MATN1              1   31174124   31231432    208      27  342729      -1.0502      0.85319
LAPTM5             1   31195315   31265683    207      36  342729     0.071276      0.47159
SDC3               1   31332313   31416480    206      49  342729    -0.014132      0.50564
PUM1               1   31394353   31573838    367      19  342729      -1.0658      0.85675
NKAIN1             1   31642592   31747734    330      17  342729     -0.84136      0.79993
SNRNP40            1   31722415   31804644    219      11  342729     -0.44163      0.67062
ZCCHC17            1   31734832   31848569    278      11  342729     -0.33332      0.63055
FABP3              1   31828100   31880923    163      12  342729      0.63263      0.26349
SERINC2            1   31847412   31917527    240      17  342729      0.24742      0.40229
TINAGL1            1   32007086   32063290    156      25  342729       -0.398      0.65469
HCRTR1             1   32048290   32103214     90       9  342729      -2.3362      0.99026
PEF1               1   32085463   32145838    118      11  342729      -2.1883      0.98568
COL16A1            1   32107848   32204768    161      26  342729      -1.5994      0.94513
ADGRB2             1   32182718   32265494     79      17  342729      0.40948      0.34109
SPOCD1             1   32246023   32316630    147      21  342729      0.66791       0.2521
